Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,37.55,37.66,36.55,36.84,138813
26/10/2015 15:30:00,37.09,37.09,36.21,36.4,264461
27/10/2015 15:30:00,36.25,37.21,36.24,36.86,230239
28/10/2015 15:30:00,36.86,37.24,36.36,36.73,256599
29/10/2015 15:30:00,36.71,37.58,36.55,36.92,955020
30/10/2015 15:30:00,38.03,38.45,37.42,37.69,718830
02/11/2015 15:30:00,37.7,37.93,37.05,37.3,99791
03/11/2015 15:30:00,37.61,38.33,36.52,38.12,356213
04/11/2015 15:30:00,38.33,38.79,37.68,38.06,214536
05/11/2015 15:30:00,37.88,38.04,37.42,37.58,100160
06/11/2015 15:30:00,37.63,38.24,37.45,37.71,259455
09/11/2015 15:30:00,37.23,39.39,36.82,39.11,357971
10/11/2015 15:30:00,39.18,39.18,37.58,37.86,181649
13/11/2015 15:30:00,38.33,38.33,37.08,37.45,114163
16/11/2015 15:30:00,37.42,38.29,37.13,37.83,121330
17/11/2015 15:30:00,37.89,38.45,37.83,38.0,150326
18/11/2015 15:30:00,38.03,38.12,37.13,37.29,129575
19/11/2015 15:30:00,37.46,37.95,37.29,37.82,80732
20/11/2015 15:30:00,37.88,38.39,37.54,37.97,268711
23/11/2015 15:30:00,38.24,38.31,37.66,37.91,125740
24/11/2015 15:30:00,38.06,38.58,37.82,38.03,205530
26/11/2015 15:30:00,38.03,39.13,37.82,38.77,464436
27/11/2015 15:30:00,38.81,39.3,38.46,38.63,119380
01/12/2015 15:30:00,38.04,38.36,37.42,37.51,134494
02/12/2015 15:30:00,37.73,37.73,36.73,36.92,185555
03/12/2015 15:30:00,36.67,37.58,36.64,37.07,172623
04/12/2015 15:30:00,36.76,37.55,36.68,37.15,118983
07/12/2015 15:30:00,37.56,37.56,36.76,37.08,114795
08/12/2015 15:30:00,36.91,37.27,36.67,36.81,105208
09/12/2015 15:30:00,36.73,37.12,35.91,36.28,196669
10/12/2015 15:30:00,36.33,36.55,35.72,36.12,223808
11/12/2015 15:30:00,36.21,36.65,35.27,35.49,208656
14/12/2015 15:30:00,35.48,36.29,35.09,35.94,109968
15/12/2015 15:30:00,36.03,36.14,35.49,35.68,150809
16/12/2015 15:30:00,36.13,36.84,35.82,36.21,185334
17/12/2015 15:30:00,36.36,36.86,36.36,36.5,316537
18/12/2015 15:30:00,36.52,37.86,36.37,37.38,973511
21/12/2015 15:30:00,37.06,38.3,37.06,38.12,410436
22/12/2015 15:30:00,38.03,38.76,37.91,38.49,380810
23/12/2015 15:30:00,38.63,38.85,37.97,38.55,167707
24/12/2015 15:30:00,38.94,40.44,38.61,39.91,617373
28/12/2015 15:30:00,40.15,40.2,39.49,39.6,273358
29/12/2015 15:30:00,39.72,40.89,39.64,40.72,636972
30/12/2015 15:30:00,41.0,41.7,40.79,40.98,493124
31/12/2015 15:30:00,41.24,41.89,41.06,41.55,590378
01/01/2016 15:30:00,41.73,41.81,41.26,41.69,231288
04/01/2016 15:30:00,41.57,42.93,41.36,41.52,437703
05/01/2016 15:30:00,41.79,42.18,41.18,41.4,264812
06/01/2016 15:30:00,41.36,41.82,40.7,41.01,179314
07/01/2016 15:30:00,41.0,41.0,38.93,39.21,425241
08/01/2016 15:30:00,39.55,40.0,39.0,39.33,199926
11/01/2016 15:30:00,39.15,40.51,38.52,40.32,304483
12/01/2016 15:30:00,40.67,41.5,40.44,40.45,509395
13/01/2016 15:30:00,40.91,41.21,39.23,40.6,521051
14/01/2016 15:30:00,40.06,40.3,39.09,39.63,168318
15/01/2016 15:30:00,39.8,40.15,37.67,38.17,184941
18/01/2016 15:30:00,37.94,38.26,36.27,37.43,232534
19/01/2016 15:30:00,37.58,38.27,36.99,38.12,179410
20/01/2016 15:30:00,37.14,37.53,35.66,36.75,256882
21/01/2016 15:30:00,37.0,37.57,35.24,35.52,490246
22/01/2016 15:30:00,36.06,36.73,35.11,36.17,351472
25/01/2016 15:30:00,36.71,37.24,36.36,36.65,224364
27/01/2016 15:30:00,36.97,39.96,36.17,36.55,1136585
28/01/2016 15:30:00,36.61,37.55,36.24,37.21,379483
29/01/2016 15:30:00,37.3,37.61,36.88,37.32,161993
01/02/2016 15:30:00,37.73,37.83,37.03,37.38,206029
02/02/2016 15:30:00,37.55,37.73,36.82,37.07,166998
03/02/2016 15:30:00,36.77,37.58,36.33,36.85,238078
04/02/2016 15:30:00,37.12,37.47,36.38,37.0,257465
05/02/2016 15:30:00,37.0,37.59,36.79,37.45,114659
08/02/2016 15:30:00,37.45,38.05,37.12,37.15,138206
09/02/2016 15:30:00,36.67,37.09,36.38,36.64,139357
10/02/2016 15:30:00,36.73,36.73,35.84,36.0,194605
11/02/2016 15:30:00,35.76,36.07,33.5,34.06,414633
12/02/2016 15:30:00,34.09,0.0,0.0,34.45,0
15/02/2016 15:30:00,34.55,35.89,34.51,35.19,135443
16/02/2016 15:30:00,35.61,35.79,33.39,33.83,181072
17/02/2016 15:30:00,33.61,34.11,32.73,33.94,339169
18/02/2016 15:30:00,34.52,34.85,34.09,34.69,231263
19/02/2016 15:30:00,34.24,34.54,34.02,34.23,173119
22/02/2016 15:30:00,34.51,35.58,34.18,35.08,245693
23/02/2016 15:30:00,35.32,35.32,33.77,33.85,255212
24/02/2016 15:30:00,33.91,34.48,32.79,33.06,286305
25/02/2016 15:30:00,33.33,33.58,31.97,32.33,254081
26/02/2016 15:30:00,32.55,32.68,31.82,31.99,267000
29/02/2016 15:30:00,32.08,32.69,31.06,31.21,386736
01/03/2016 15:30:00,31.06,31.62,30.55,31.49,590716
02/03/2016 15:30:00,31.88,32.58,31.7,31.84,373806
03/03/2016 15:30:00,32.12,32.95,31.98,32.58,514982
04/03/2016 15:30:00,32.88,33.63,32.27,33.35,424922
08/03/2016 15:30:00,33.48,33.77,32.71,32.91,185085
09/03/2016 15:30:00,32.91,33.3,32.37,33.18,157704
10/03/2016 15:30:00,33.22,33.37,32.55,32.85,160249
11/03/2016 15:30:00,32.85,33.48,32.64,32.93,215315
14/03/2016 15:30:00,33.06,33.24,31.95,32.57,303165
15/03/2016 15:30:00,32.67,32.67,31.72,32.23,183227
16/03/2016 15:30:00,32.42,32.42,31.7,32.28,273252
17/03/2016 15:30:00,32.58,33.21,32.42,32.85,366683
18/03/2016 15:30:00,33.15,33.57,32.96,33.42,411761
21/03/2016 15:30:00,33.48,36.45,33.39,35.67,920792
22/03/2016 15:30:00,36.06,36.42,35.69,36.1,641157
23/03/2016 15:30:00,36.2,37.03,35.6,36.42,295361
28/03/2016 15:30:00,36.74,36.93,35.09,35.38,303151
29/03/2016 15:30:00,35.47,36.15,35.2,35.76,244306
30/03/2016 15:30:00,36.24,36.85,35.88,36.66,389887
31/03/2016 15:30:00,36.94,37.85,36.27,37.1,807698
01/04/2016 15:30:00,36.61,36.94,36.11,36.34,219713
04/04/2016 15:30:00,36.82,36.94,36.43,36.54,195877
05/04/2016 15:30:00,36.43,36.43,35.46,35.79,262230
06/04/2016 15:30:00,35.94,36.28,35.31,35.5,187273
07/04/2016 15:30:00,35.61,35.61,34.64,34.92,338969
08/04/2016 15:30:00,35.15,35.68,34.68,35.38,170376
11/04/2016 15:30:00,35.52,35.61,34.32,34.87,264246
12/04/2016 15:30:00,35.0,36.15,34.85,35.87,289427
13/04/2016 15:30:00,36.25,36.82,35.91,36.18,254498
18/04/2016 15:30:00,36.27,36.86,35.85,36.55,228991
20/04/2016 15:30:00,36.55,36.99,36.13,36.31,199116
21/04/2016 15:30:00,36.42,36.64,35.07,35.43,192363
22/04/2016 15:30:00,34.91,35.71,34.91,35.44,218175
25/04/2016 15:30:00,35.6,35.95,35.34,35.52,163061
26/04/2016 15:30:00,35.45,36.17,35.38,36.1,221537
27/04/2016 15:30:00,36.17,37.03,36.15,36.75,294739
28/04/2016 15:30:00,36.91,37.35,35.7,35.87,488864
29/04/2016 15:30:00,36.06,36.54,35.61,35.81,166015
02/05/2016 15:30:00,35.46,36.33,35.46,35.98,108464
03/05/2016 15:30:00,36.2,36.33,35.48,35.63,137423
04/05/2016 15:30:00,35.55,35.87,34.55,34.75,157688
05/05/2016 15:30:00,34.81,35.21,34.57,34.74,227076
06/05/2016 15:30:00,34.75,34.98,34.39,34.61,131693
09/05/2016 15:30:00,34.69,35.18,34.56,34.92,218970
10/05/2016 15:30:00,34.99,35.58,34.99,35.44,199553
11/05/2016 15:30:00,35.03,35.38,34.7,35.07,90773
12/05/2016 15:30:00,35.06,35.42,35.05,35.15,89409
13/05/2016 15:30:00,35.12,35.14,34.73,34.82,114038
16/05/2016 15:30:00,34.85,34.86,33.73,34.39,335187
17/05/2016 15:30:00,34.55,34.85,34.09,34.32,215486
18/05/2016 15:30:00,34.25,35.03,34.09,34.84,193245
19/05/2016 15:30:00,34.85,34.9,33.71,33.87,156172
20/05/2016 15:30:00,34.03,34.21,33.18,33.34,518751
23/05/2016 15:30:00,33.51,34.09,33.1,33.29,161731
24/05/2016 15:30:00,33.33,33.8,32.79,33.6,208982
25/05/2016 15:30:00,33.67,34.13,33.42,33.61,291975
26/05/2016 15:30:00,33.7,34.39,33.7,34.06,385345
27/05/2016 15:30:00,34.36,36.52,34.36,35.85,831642
30/05/2016 15:30:00,36.21,36.33,35.45,36.1,316575
31/05/2016 15:30:00,36.24,36.24,35.61,35.7,141025
01/06/2016 15:30:00,35.88,36.36,34.98,35.05,205096
02/06/2016 15:30:00,35.21,35.42,34.74,35.29,111162
03/06/2016 15:30:00,35.61,35.65,34.55,34.65,174650
06/06/2016 15:30:00,34.76,36.18,34.76,35.95,403354
07/06/2016 15:30:00,36.09,37.06,36.06,36.89,586810
08/06/2016 15:30:00,37.27,39.4,37.27,39.07,1264443
09/06/2016 15:30:00,38.88,39.82,37.88,38.23,765462
10/06/2016 15:30:00,38.33,39.21,38.03,38.35,468117
13/06/2016 15:30:00,38.17,38.31,37.52,37.75,230404
14/06/2016 15:30:00,37.97,38.24,37.31,37.68,212876
15/06/2016 15:30:00,37.88,38.75,37.76,38.17,256255
16/06/2016 15:30:00,38.39,38.87,38.12,38.46,422327
17/06/2016 15:30:00,38.73,38.82,38.03,38.1,201605
20/06/2016 15:30:00,37.91,39.44,37.73,38.93,429866
21/06/2016 15:30:00,39.27,39.51,38.7,38.9,368332
22/06/2016 15:30:00,38.88,39.06,37.94,38.32,269826
23/06/2016 15:30:00,38.31,38.75,38.05,38.62,167440
24/06/2016 15:30:00,36.42,38.09,35.76,37.82,327467
27/06/2016 15:30:00,38.03,38.45,37.79,38.11,204327
28/06/2016 15:30:00,38.16,38.4,37.7,37.85,323035
29/06/2016 15:30:00,38.04,38.78,38.04,38.5,282710
30/06/2016 15:30:00,38.79,39.0,38.21,38.4,331825
01/07/2016 15:30:00,38.48,38.88,38.48,38.54,239386
04/07/2016 15:30:00,38.78,39.08,38.52,38.62,318531
05/07/2016 15:30:00,38.76,39.14,38.48,38.63,170785
07/07/2016 15:30:00,39.03,39.06,38.33,38.48,176637
08/07/2016 15:30:00,38.57,38.57,37.88,38.13,133684
11/07/2016 15:30:00,38.36,38.7,38.05,38.12,205985
12/07/2016 15:30:00,38.24,38.45,38.13,38.24,131194
13/07/2016 15:30:00,38.33,38.72,37.6,37.77,250102
14/07/2016 15:30:00,37.88,38.85,37.45,38.76,415812
15/07/2016 15:30:00,38.84,38.97,37.85,37.96,314265
18/07/2016 15:30:00,38.17,38.32,37.58,37.67,154281
19/07/2016 15:30:00,37.82,38.16,37.34,37.62,175317
20/07/2016 15:30:00,37.67,38.33,37.58,37.87,195157
21/07/2016 15:30:00,37.91,38.24,37.45,37.5,272524
22/07/2016 15:30:00,37.49,37.77,37.17,37.46,282400
25/07/2016 15:30:00,37.5,37.94,37.15,37.69,250523
26/07/2016 15:30:00,37.89,37.97,37.0,37.16,141327
27/07/2016 15:30:00,37.27,37.52,36.7,36.94,211496
28/07/2016 15:30:00,37.52,37.85,36.86,37.0,463682
29/07/2016 15:30:00,37.09,37.6,37.03,37.45,306539
01/08/2016 15:30:00,37.45,38.12,37.43,37.6,320503
02/08/2016 15:30:00,38.03,38.06,37.27,37.56,275717
