Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,838.0,839.48,828.27,837.68,1460561
26/10/2015 15:30:00,850.2,852.2,831.11,840.15,870946
27/10/2015 15:30:00,844.99,845.0,832.5,835.82,814250
28/10/2015 15:30:00,840.0,840.0,816.02,822.73,645418
29/10/2015 15:30:00,822.99,848.0,816.64,844.27,1215125
30/10/2015 15:30:00,852.2,873.07,846.0,855.98,1045396
02/11/2015 15:30:00,850.6,863.03,846.64,859.26,447520
03/11/2015 15:30:00,862.0,869.0,859.85,867.03,506774
04/11/2015 15:30:00,868.02,875.84,862.0,864.58,286491
05/11/2015 15:30:00,861.02,865.64,847.42,849.88,302249
06/11/2015 15:30:00,851.6,858.4,723.0,726.13,4015493
09/11/2015 15:30:00,714.0,715.0,689.19,700.23,1714348
10/11/2015 15:30:00,699.6,699.6,660.0,666.14,1893661
13/11/2015 15:30:00,663.2,681.74,659.6,677.92,1706696
16/11/2015 15:30:00,688.0,705.0,682.0,701.84,1305091
17/11/2015 15:30:00,692.0,694.21,682.02,688.26,788420
18/11/2015 15:30:00,684.6,686.8,672.0,673.39,743528
19/11/2015 15:30:00,680.0,681.0,627.57,656.22,3806366
20/11/2015 15:30:00,663.4,675.43,661.95,670.62,784238
23/11/2015 15:30:00,672.0,684.76,672.0,681.85,567770
24/11/2015 15:30:00,679.8,681.8,670.0,677.54,321508
26/11/2015 15:30:00,630.0,639.98,616.2,620.15,2741563
27/11/2015 15:30:00,626.0,627.99,609.41,619.86,1388236
30/11/2015 15:30:00,623.0,627.6,620.41,622.0,771131
01/12/2015 15:30:00,626.4,644.89,625.9,642.18,1184956
02/12/2015 15:30:00,645.0,653.0,644.0,650.33,835919
03/12/2015 15:30:00,649.4,649.4,640.23,644.73,392118
04/12/2015 15:30:00,638.84,643.26,636.0,639.1,325868
07/12/2015 15:30:00,640.59,641.06,630.47,635.98,346625
08/12/2015 15:30:00,629.76,630.58,608.6,612.64,878625
09/12/2015 15:30:00,593.59,604.8,590.3,599.04,1039562
10/12/2015 15:30:00,598.8,607.54,593.33,599.06,687090
11/12/2015 15:30:00,599.19,604.79,590.2,593.8,485851
14/12/2015 15:30:00,593.2,603.4,590.25,602.08,375312
15/12/2015 15:30:00,602.2,608.39,597.26,598.84,394765
16/12/2015 15:30:00,601.38,608.6,599.47,600.9,320807
17/12/2015 15:30:00,607.2,612.79,602.11,603.59,492375
18/12/2015 15:30:00,601.0,601.65,593.96,594.84,438497
21/12/2015 15:30:00,596.7,605.9,592.51,601.89,366770
22/12/2015 15:30:00,604.04,606.4,599.0,600.22,190308
23/12/2015 15:30:00,603.0,606.25,602.03,604.92,172714
24/12/2015 15:30:00,607.7,609.81,601.0,602.0,226574
28/12/2015 15:30:00,603.0,625.8,603.0,624.14,751910
29/12/2015 15:30:00,620.0,629.43,618.0,620.1,623330
30/12/2015 15:30:00,622.2,634.4,622.2,624.23,633284
31/12/2015 15:30:00,625.8,631.0,619.07,621.72,545901
01/01/2016 15:30:00,623.76,624.6,618.0,621.72,171860
04/01/2016 15:30:00,621.0,624.0,608.51,611.2,333993
05/01/2016 15:30:00,613.0,617.08,612.0,614.13,301505
06/01/2016 15:30:00,614.79,618.4,606.96,609.25,266798
07/01/2016 15:30:00,604.2,604.2,594.0,598.36,483903
08/01/2016 15:30:00,596.0,606.4,595.16,602.14,370871
11/01/2016 15:30:00,598.7,598.8,584.48,586.3,465979
12/01/2016 15:30:00,583.2,588.58,578.05,585.2,471582
13/01/2016 15:30:00,587.0,589.86,571.08,578.19,375169
14/01/2016 15:30:00,576.0,585.0,570.8,583.0,391322
15/01/2016 15:30:00,586.24,593.0,584.69,587.18,341129
18/01/2016 15:30:00,585.6,590.14,572.02,574.98,275436
19/01/2016 15:30:00,579.58,589.14,568.33,583.1,245196
20/01/2016 15:30:00,578.6,580.6,571.58,574.02,395332
21/01/2016 15:30:00,578.8,578.8,550.01,551.42,623985
22/01/2016 15:30:00,556.8,582.37,555.81,576.47,384416
25/01/2016 15:30:00,582.0,585.2,576.08,580.65,188627
27/01/2016 15:30:00,583.6,596.4,580.0,594.6,427213
28/01/2016 15:30:00,594.72,605.96,593.0,602.24,610150
29/01/2016 15:30:00,599.59,623.99,594.2,621.08,869984
01/02/2016 15:30:00,617.0,627.6,608.25,610.1,565741
02/02/2016 15:30:00,612.0,621.52,608.2,609.7,409389
03/02/2016 15:30:00,607.58,607.58,599.46,601.66,341917
04/02/2016 15:30:00,609.8,609.8,594.0,601.73,338121
05/02/2016 15:30:00,602.82,624.8,598.68,621.82,440268
08/02/2016 15:30:00,619.8,624.8,606.4,612.62,340587
09/02/2016 15:30:00,611.6,623.0,589.6,591.92,1121969
10/02/2016 15:30:00,580.0,587.53,565.0,577.01,639905
11/02/2016 15:30:00,580.0,595.51,570.4,577.07,786110
12/02/2016 15:30:00,582.98,586.83,565.06,568.8,508339
15/02/2016 15:30:00,574.46,579.38,562.61,571.81,380782
16/02/2016 15:30:00,572.44,584.7,569.03,571.13,330903
17/02/2016 15:30:00,575.82,597.8,575.82,592.14,727660
18/02/2016 15:30:00,610.0,630.88,604.0,620.72,1131720
19/02/2016 15:30:00,621.0,621.0,609.14,611.76,385596
22/02/2016 15:30:00,614.0,623.56,613.48,621.6,287606
23/02/2016 15:30:00,624.0,629.8,613.2,616.18,346246
24/02/2016 15:30:00,614.94,614.94,600.0,602.64,397286
25/02/2016 15:30:00,602.18,604.55,597.0,598.89,559966
26/02/2016 15:30:00,604.0,605.96,591.24,598.81,243075
29/02/2016 15:30:00,596.12,615.2,595.61,607.25,501895
01/03/2016 15:30:00,608.0,609.89,600.0,604.91,319452
02/03/2016 15:30:00,609.98,614.98,601.2,603.05,368531
03/03/2016 15:30:00,612.4,640.2,612.4,637.63,890037
04/03/2016 15:30:00,642.79,656.6,640.0,650.55,592633
08/03/2016 15:30:00,652.0,654.0,637.6,643.91,300671
09/03/2016 15:30:00,644.2,645.22,634.88,643.99,350396
10/03/2016 15:30:00,647.1,647.1,632.0,636.85,254726
11/03/2016 15:30:00,636.0,644.44,635.6,642.17,308167
14/03/2016 15:30:00,642.0,649.4,636.44,646.73,337823
15/03/2016 15:30:00,646.6,646.6,621.8,626.67,214848
16/03/2016 15:30:00,622.2,632.74,613.25,630.86,291791
17/03/2016 15:30:00,632.88,633.02,621.07,625.1,296397
18/03/2016 15:30:00,621.6,635.6,617.28,634.26,380871
21/03/2016 15:30:00,631.4,639.8,625.31,636.45,324841
22/03/2016 15:30:00,636.0,639.98,609.0,611.59,1035503
23/03/2016 15:30:00,612.0,615.75,606.2,609.58,404981
28/03/2016 15:30:00,607.6,614.91,602.82,607.13,380473
29/03/2016 15:30:00,606.0,606.0,577.43,588.26,506798
30/03/2016 15:30:00,594.22,605.26,585.09,603.13,361113
31/03/2016 15:30:00,604.4,612.6,600.7,607.04,662246
01/04/2016 15:30:00,604.04,605.23,593.03,595.99,317123
04/04/2016 15:30:00,601.6,608.86,599.4,602.35,306428
05/04/2016 15:30:00,601.0,608.0,598.42,599.98,283750
06/04/2016 15:30:00,601.8,608.0,594.02,600.29,229608
07/04/2016 15:30:00,601.0,615.0,601.0,607.15,358564
08/04/2016 15:30:00,610.0,617.89,606.06,607.83,220953
11/04/2016 15:30:00,605.83,607.0,599.0,605.85,228551
12/04/2016 15:30:00,610.0,619.6,610.0,616.55,287065
13/04/2016 15:30:00,620.0,624.54,617.01,619.9,363972
