Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,593.23,600.12,591.33,592.78,22475
26/10/2015 15:30:00,593.39,603.72,588.33,599.72,32899
27/10/2015 15:30:00,598.88,604.57,596.6,599.12,56665
28/10/2015 15:30:00,596.49,603.11,596.46,600.89,32960
29/10/2015 15:30:00,600.02,601.15,592.05,596.77,71605
30/10/2015 15:30:00,602.78,610.91,597.75,603.28,110603
02/11/2015 15:30:00,603.28,607.31,593.27,599.89,19588
03/11/2015 15:30:00,601.98,604.57,599.37,601.15,58919
04/11/2015 15:30:00,603.75,605.44,596.12,600.91,30726
05/11/2015 15:30:00,599.69,602.29,595.26,600.81,29987
06/11/2015 15:30:00,600.67,604.39,594.52,599.54,31890
09/11/2015 15:30:00,594.65,595.14,589.13,593.02,67758
10/11/2015 15:30:00,589.93,591.61,583.77,588.51,45168
13/11/2015 15:30:00,582.78,589.94,577.87,588.81,71144
16/11/2015 15:30:00,589.13,600.34,585.68,598.33,31418
17/11/2015 15:30:00,599.53,600.22,582.14,587.41,44542
18/11/2015 15:30:00,587.83,589.27,582.16,587.02,34282
19/11/2015 15:30:00,587.58,598.07,587.02,595.69,25130
20/11/2015 15:30:00,595.63,600.99,593.13,598.68,42553
23/11/2015 15:30:00,598.55,603.27,592.79,596.91,40303
24/11/2015 15:30:00,594.82,604.41,593.21,600.56,68009
26/11/2015 15:30:00,600.56,607.8,598.08,606.18,67043
27/11/2015 15:30:00,606.74,609.44,603.93,606.94,53971
30/11/2015 15:30:00,607.01,0.0,0.0,605.97,0
01/12/2015 15:30:00,609.77,613.49,605.0,606.91,27570
02/12/2015 15:30:00,607.02,612.01,606.69,610.49,59792
03/12/2015 15:30:00,608.35,615.13,605.43,608.48,90457
04/12/2015 15:30:00,606.35,610.26,602.13,604.49,41873
07/12/2015 15:30:00,605.4,615.94,605.4,612.7,52386
08/12/2015 15:30:00,611.12,612.65,606.33,607.65,13013
09/12/2015 15:30:00,606.37,608.69,599.85,601.48,62833
10/12/2015 15:30:00,601.32,604.41,594.82,603.19,30014
11/12/2015 15:30:00,602.78,606.19,586.2,588.54,31195
14/12/2015 15:30:00,586.48,604.45,582.82,593.44,38058
15/12/2015 15:30:00,593.72,601.15,588.15,598.69,26308
16/12/2015 15:30:00,600.06,606.19,599.4,605.34,37808
17/12/2015 15:30:00,605.97,609.44,602.13,607.27,41295
18/12/2015 15:30:00,604.89,611.86,599.18,604.83,73908
21/12/2015 15:30:00,604.89,606.19,599.35,602.59,17222
22/12/2015 15:30:00,602.62,608.31,598.23,605.45,50985
23/12/2015 15:30:00,606.55,609.69,604.71,607.61,26515
24/12/2015 15:30:00,608.21,609.44,602.7,604.34,16342
28/12/2015 15:30:00,604.57,606.18,598.39,600.54,21409
29/12/2015 15:30:00,601.32,611.88,596.9,608.21,61779
30/12/2015 15:30:00,609.1,609.1,601.5,605.49,26755
31/12/2015 15:30:00,605.38,611.38,603.11,610.23,58340
01/01/2016 15:30:00,608.34,615.96,607.01,612.33,23045
04/01/2016 15:30:00,611.08,614.81,590.44,594.37,66212
05/01/2016 15:30:00,595.22,599.97,589.37,594.67,33048
06/01/2016 15:30:00,594.65,599.2,585.5,593.58,51689
07/01/2016 15:30:00,590.1,593.18,575.31,578.11,83869
08/01/2016 15:30:00,580.21,584.55,571.23,581.12,26761
11/01/2016 15:30:00,578.08,591.98,573.83,588.66,51634
12/01/2016 15:30:00,588.97,593.31,569.2,576.94,90923
13/01/2016 15:30:00,580.19,584.24,568.16,573.2,58396
14/01/2016 15:30:00,571.74,572.69,564.75,568.68,83465
15/01/2016 15:30:00,569.14,572.39,558.9,569.42,57726
18/01/2016 15:30:00,570.44,576.04,565.68,568.98,63221
19/01/2016 15:30:00,567.22,574.2,566.48,572.5,55695
20/01/2016 15:30:00,563.89,580.12,561.99,564.94,87662
21/01/2016 15:30:00,566.42,570.28,558.5,561.05,45408
22/01/2016 15:30:00,562.33,568.98,558.25,560.25,39012
25/01/2016 15:30:00,560.7,566.36,557.44,559.83,58480
27/01/2016 15:30:00,556.15,566.18,555.04,556.42,93713
28/01/2016 15:30:00,559.06,560.33,539.73,543.65,147122
29/01/2016 15:30:00,544.63,559.71,544.63,551.53,90830
