Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,433.5,434.95,424.0,426.48,1532429
26/10/2015 15:30:00,429.68,434.33,428.55,431.78,2078720
27/10/2015 15:30:00,431.5,437.0,427.3,433.83,1540700
28/10/2015 15:30:00,433.5,440.0,427.0,438.78,1675640
29/10/2015 15:30:00,438.85,442.6,436.63,437.95,2121777
30/10/2015 15:30:00,438.0,438.5,433.78,435.85,1327897
02/11/2015 15:30:00,437.5,440.45,435.05,438.15,1010052
03/11/2015 15:30:00,438.13,440.95,437.13,438.05,1057805
04/11/2015 15:30:00,439.5,442.2,437.5,440.8,841844
05/11/2015 15:30:00,440.8,441.9,437.03,438.75,1185249
06/11/2015 15:30:00,438.75,444.75,437.3,442.73,1326926
09/11/2015 15:30:00,439.45,442.5,435.05,441.25,1521940
10/11/2015 15:30:00,438.13,439.93,423.6,425.65,839191
13/11/2015 15:30:00,412.5,428.4,411.6,421.7,1475398
16/11/2015 15:30:00,414.05,421.2,412.5,419.3,1438057
17/11/2015 15:30:00,422.25,429.95,417.88,428.38,1702888
18/11/2015 15:30:00,426.98,426.98,417.63,422.83,1523474
19/11/2015 15:30:00,425.0,438.43,423.03,436.98,1764168
20/11/2015 15:30:00,436.0,437.2,427.75,433.28,1693461
23/11/2015 15:30:00,431.0,433.98,429.3,431.88,589656
24/11/2015 15:30:00,431.05,436.25,428.3,433.1,1124337
26/11/2015 15:30:00,430.6,434.5,428.43,431.45,1040829
27/11/2015 15:30:00,432.0,437.5,431.6,436.28,790471
30/11/2015 15:30:00,436.08,437.45,436.08,437.45,0
01/12/2015 15:30:00,435.48,442.85,434.53,438.85,1273589
02/12/2015 15:30:00,441.0,441.0,428.0,429.83,1287691
03/12/2015 15:30:00,428.0,428.0,424.63,425.58,1918307
04/12/2015 15:30:00,424.63,425.0,415.58,418.0,1889164
07/12/2015 15:30:00,420.1,426.43,417.0,421.15,1311092
08/12/2015 15:30:00,420.83,433.95,420.83,429.03,1588129
09/12/2015 15:30:00,428.5,428.5,419.85,422.13,1302201
10/12/2015 15:30:00,422.0,425.0,418.5,422.85,918908
11/12/2015 15:30:00,424.95,424.95,418.13,420.3,531147
14/12/2015 15:30:00,421.5,426.33,413.0,420.43,768230
15/12/2015 15:30:00,424.85,424.85,420.45,422.6,804676
16/12/2015 15:30:00,424.65,429.9,421.35,423.53,815360
17/12/2015 15:30:00,425.73,432.15,423.63,430.23,969882
18/12/2015 15:30:00,430.0,432.5,422.45,423.08,1419129
21/12/2015 15:30:00,422.5,428.98,421.58,427.73,458852
22/12/2015 15:30:00,427.5,427.73,422.93,424.63,718460
23/12/2015 15:30:00,425.0,432.73,424.75,431.9,673209
24/12/2015 15:30:00,430.35,433.0,427.78,430.15,370778
28/12/2015 15:30:00,429.25,437.0,426.93,433.85,901833
29/12/2015 15:30:00,432.48,433.0,423.28,427.25,1142764
30/12/2015 15:30:00,427.43,429.25,419.0,420.25,876037
31/12/2015 15:30:00,418.5,430.0,418.48,427.55,873853
01/01/2016 15:30:00,427.55,427.55,421.75,422.93,485196
04/01/2016 15:30:00,420.5,427.48,418.73,422.98,1086036
05/01/2016 15:30:00,424.48,425.53,418.2,421.4,732691
06/01/2016 15:30:00,426.85,426.85,418.5,420.7,1398935
07/01/2016 15:30:00,418.05,418.95,409.5,412.53,1450657
08/01/2016 15:30:00,414.0,418.38,406.9,414.18,1688435
11/01/2016 15:30:00,407.5,416.5,405.55,407.28,1267638
12/01/2016 15:30:00,409.0,409.5,399.03,404.83,1157664
13/01/2016 15:30:00,407.4,414.93,402.15,413.2,1579234
14/01/2016 15:30:00,405.03,420.9,405.03,414.43,2540610
15/01/2016 15:30:00,414.25,421.0,408.0,419.03,2285591
18/01/2016 15:30:00,415.55,426.98,415.55,421.18,1887068
19/01/2016 15:30:00,433.5,435.0,400.0,419.13,5309499
20/01/2016 15:30:00,415.53,423.0,411.5,420.95,1988009
21/01/2016 15:30:00,422.0,425.08,415.63,417.63,1674215
22/01/2016 15:30:00,419.0,425.48,415.95,419.63,1009239
25/01/2016 15:30:00,423.75,429.45,418.43,419.35,1095067
27/01/2016 15:30:00,419.0,420.45,415.1,418.0,1100759
28/01/2016 15:30:00,416.5,424.9,414.85,422.25,1600653
29/01/2016 15:30:00,422.63,435.0,421.15,432.88,1917557
01/02/2016 15:30:00,432.9,444.95,432.9,440.15,1297246
02/02/2016 15:30:00,440.0,442.5,433.53,436.33,1112732
03/02/2016 15:30:00,433.18,435.0,424.43,426.05,978045
04/02/2016 15:30:00,427.55,437.4,424.48,433.68,1317307
05/02/2016 15:30:00,438.5,438.5,429.18,434.83,983851
08/02/2016 15:30:00,433.05,434.48,423.0,425.5,805217
09/02/2016 15:30:00,421.5,422.0,402.98,405.23,1667218
10/02/2016 15:30:00,407.75,416.5,403.8,413.7,1132697
11/02/2016 15:30:00,413.7,413.7,400.8,404.0,1619207
