Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,570.9,576.5,562.55,574.95,3016681
26/10/2015 15:30:00,577.0,579.25,571.58,576.08,1597971
27/10/2015 15:30:00,575.0,577.5,572.05,574.7,2631874
28/10/2015 15:30:00,572.25,579.0,569.5,576.6,2627736
29/10/2015 15:30:00,576.55,577.95,568.03,572.53,2943662
30/10/2015 15:30:00,572.5,572.5,565.0,567.73,2022338
02/11/2015 15:30:00,565.0,567.9,557.05,565.6,1772494
03/11/2015 15:30:00,566.7,575.23,566.7,572.75,1807341
04/11/2015 15:30:00,575.05,578.8,566.15,568.4,1602786
05/11/2015 15:30:00,571.48,572.5,559.7,561.45,1172653
06/11/2015 15:30:00,561.5,571.95,561.45,569.15,1513086
09/11/2015 15:30:00,560.0,570.0,557.6,567.3,3062838
10/11/2015 15:30:00,563.75,563.75,550.05,551.92,2340026
13/11/2015 15:30:00,549.98,553.0,545.0,550.4,1760434
16/11/2015 15:30:00,541.83,547.0,533.6,540.1,3404167
17/11/2015 15:30:00,540.0,541.45,526.0,530.75,3592053
18/11/2015 15:30:00,520.5,522.58,505.63,510.0,5062626
19/11/2015 15:30:00,515.13,526.0,511.9,523.9,4269811
20/11/2015 15:30:00,524.0,531.6,521.03,526.2,3041489
23/11/2015 15:30:00,525.0,531.2,519.0,526.85,2808175
24/11/2015 15:30:00,525.0,525.4,518.5,520.58,2162901
26/11/2015 15:30:00,520.48,529.75,520.03,526.2,4926984
27/11/2015 15:30:00,529.0,535.0,522.5,533.17,2571239
30/11/2015 15:30:00,535.0,0.0,0.0,533.0,0
01/12/2015 15:30:00,544.0,547.5,536.48,539.5,2949275
02/12/2015 15:30:00,539.98,539.98,529.5,530.35,3198808
03/12/2015 15:30:00,530.5,532.4,524.53,528.88,2752363
04/12/2015 15:30:00,524.5,532.45,520.05,524.53,4187765
07/12/2015 15:30:00,527.65,529.5,520.0,523.13,2256935
08/12/2015 15:30:00,522.53,531.38,519.65,522.2,2862186
09/12/2015 15:30:00,521.5,523.48,511.28,514.1,3409127
10/12/2015 15:30:00,518.3,525.8,515.15,523.67,2793873
11/12/2015 15:30:00,527.0,530.95,522.95,526.4,2695099
14/12/2015 15:30:00,524.75,536.58,524.03,534.75,2408336
15/12/2015 15:30:00,536.63,539.55,529.4,538.78,2715904
16/12/2015 15:30:00,541.7,549.0,541.7,547.92,2747926
17/12/2015 15:30:00,550.0,554.9,544.0,553.55,2479391
18/12/2015 15:30:00,551.7,551.7,539.73,541.58,3609910
21/12/2015 15:30:00,538.5,553.7,532.98,551.73,2165506
22/12/2015 15:30:00,548.73,548.73,540.05,541.88,2054627
23/12/2015 15:30:00,547.53,551.25,543.53,550.42,1435464
24/12/2015 15:30:00,551.03,552.23,545.05,548.17,615027
28/12/2015 15:30:00,545.0,555.0,545.0,552.38,2763476
29/12/2015 15:30:00,550.63,555.0,548.65,552.35,1672531
30/12/2015 15:30:00,550.55,553.3,541.5,543.15,2576985
31/12/2015 15:30:00,545.08,554.98,543.5,552.7,3971969
01/01/2016 15:30:00,550.0,554.48,546.6,552.63,903275
04/01/2016 15:30:00,549.98,551.23,538.03,539.45,1987681
05/01/2016 15:30:00,542.75,542.75,531.13,537.03,2474893
06/01/2016 15:30:00,537.33,537.33,529.45,534.67,2794164
07/01/2016 15:30:00,530.03,533.95,523.95,525.4,2647044
08/01/2016 15:30:00,530.75,533.7,527.75,531.65,1578358
11/01/2016 15:30:00,528.15,534.98,526.05,527.85,2680311
12/01/2016 15:30:00,531.0,531.48,515.42,524.03,3282606
13/01/2016 15:30:00,528.5,545.5,524.05,541.7,4375647
14/01/2016 15:30:00,533.0,577.5,527.17,566.5,15113503
15/01/2016 15:30:00,574.0,582.0,568.78,569.95,6518307
18/01/2016 15:30:00,569.95,581.05,564.17,565.95,5033306
19/01/2016 15:30:00,567.5,579.48,564.28,569.83,3750218
20/01/2016 15:30:00,567.0,580.0,558.5,560.63,3753999
21/01/2016 15:30:00,567.5,571.25,561.0,568.53,3371500
22/01/2016 15:30:00,574.05,576.25,565.5,568.13,3218009
25/01/2016 15:30:00,570.13,573.42,562.28,568.83,2289631
27/01/2016 15:30:00,573.23,574.8,567.5,569.25,3485981
28/01/2016 15:30:00,568.0,571.3,563.1,564.8,3894299
29/01/2016 15:30:00,569.0,585.0,565.8,582.45,5116054
01/02/2016 15:30:00,585.0,589.95,580.8,586.67,2125563
02/02/2016 15:30:00,588.42,595.0,582.0,587.78,3816351
03/02/2016 15:30:00,583.9,587.95,576.38,578.85,2622983
04/02/2016 15:30:00,580.03,597.48,580.03,589.88,2774673
05/02/2016 15:30:00,587.75,593.33,585.92,587.35,1992112
08/02/2016 15:30:00,581.88,586.1,571.9,572.92,2110522
09/02/2016 15:30:00,564.15,564.15,546.75,553.83,3789786
10/02/2016 15:30:00,554.0,563.75,552.5,554.28,2933027
11/02/2016 15:30:00,555.5,556.5,535.58,539.33,2607189
12/02/2016 15:30:00,547.35,0.0,0.0,539.4,0
15/02/2016 15:30:00,548.13,550.1,543.3,545.88,2546739
16/02/2016 15:30:00,543.5,546.38,536.85,539.58,2562724
17/02/2016 15:30:00,540.88,551.5,538.5,548.92,2082299
18/02/2016 15:30:00,550.0,563.5,550.0,561.7,2094536
19/02/2016 15:30:00,559.6,567.1,556.92,563.63,1987009
22/02/2016 15:30:00,565.5,566.98,557.03,563.33,1928505
23/02/2016 15:30:00,565.13,566.25,558.03,561.95,1250980
24/02/2016 15:30:00,559.75,571.88,559.17,562.67,2475357
25/02/2016 15:30:00,562.7,565.3,550.55,555.15,2242264
26/02/2016 15:30:00,560.08,566.0,558.0,560.58,2117818
29/02/2016 15:30:00,564.75,565.2,534.15,542.03,4083038
01/03/2016 15:30:00,547.4,565.15,547.4,562.73,3193077
02/03/2016 15:30:00,568.53,581.75,562.5,578.0,3607449
03/03/2016 15:30:00,584.0,596.42,577.0,584.65,2907152
04/03/2016 15:30:00,587.8,592.5,579.55,585.33,2140840
08/03/2016 15:30:00,581.5,595.25,573.7,581.73,3808873
