Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,633.3,639.98,620.2,623.33,814591
26/10/2015 15:30:00,625.0,629.95,618.33,622.65,582624
27/10/2015 15:30:00,621.0,630.17,616.65,625.03,812411
28/10/2015 15:30:00,621.0,626.6,610.1,613.45,1941670
29/10/2015 15:30:00,614.0,618.5,607.0,613.9,1193874
30/10/2015 15:30:00,611.25,613.42,586.65,591.8,966636
02/11/2015 15:30:00,600.03,618.25,600.03,604.42,1288427
03/11/2015 15:30:00,605.95,617.75,605.25,616.48,655515
04/11/2015 15:30:00,616.48,629.75,616.48,627.15,454140
05/11/2015 15:30:00,625.5,634.88,622.8,629.88,867254
06/11/2015 15:30:00,627.5,634.5,606.5,624.78,1164377
09/11/2015 15:30:00,610.5,632.5,607.28,624.55,574971
10/11/2015 15:30:00,623.55,634.0,617.75,630.58,602837
13/11/2015 15:30:00,622.7,629.75,621.35,625.7,1639510
16/11/2015 15:30:00,625.0,644.33,619.1,638.95,2026549
17/11/2015 15:30:00,639.5,649.0,634.75,644.4,1508800
18/11/2015 15:30:00,642.5,652.0,637.15,639.15,691702
19/11/2015 15:30:00,642.55,648.98,637.58,646.05,460811
20/11/2015 15:30:00,646.05,662.5,645.65,657.63,1984836
23/11/2015 15:30:00,657.63,667.15,653.6,661.75,913158
24/11/2015 15:30:00,661.75,662.98,655.9,659.78,1241101
26/11/2015 15:30:00,662.48,676.98,658.5,673.13,909430
27/11/2015 15:30:00,678.0,686.0,674.7,675.6,1637675
30/11/2015 15:30:00,676.5,0.0,0.0,679.5,0
01/12/2015 15:30:00,685.0,690.75,678.25,684.45,1183173
02/12/2015 15:30:00,687.5,688.48,681.75,685.23,1016020
03/12/2015 15:30:00,684.25,684.38,670.3,672.85,564834
04/12/2015 15:30:00,667.8,671.6,656.13,657.65,783653
07/12/2015 15:30:00,659.25,665.7,653.85,661.85,563422
08/12/2015 15:30:00,660.0,666.43,651.05,657.13,926809
09/12/2015 15:30:00,656.5,664.4,653.08,656.05,1124326
10/12/2015 15:30:00,657.0,659.88,642.0,645.35,747329
11/12/2015 15:30:00,643.0,647.95,622.0,630.95,646040
14/12/2015 15:30:00,615.55,648.15,614.25,642.4,1380806
15/12/2015 15:30:00,647.5,652.23,639.08,644.53,776403
