Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,327.5,327.5,315.56,316.43,39067
26/10/2015 15:30:00,317.9,321.0,314.0,315.82,33416
27/10/2015 15:30:00,319.95,320.5,317.25,317.73,33326
28/10/2015 15:30:00,318.5,319.0,315.0,316.87,29844
29/10/2015 15:30:00,316.88,318.5,312.6,314.52,47775
30/10/2015 15:30:00,311.5,313.1,307.5,308.7,51020
02/11/2015 15:30:00,308.0,315.95,307.5,313.8,29690
03/11/2015 15:30:00,314.95,316.0,310.26,310.89,28500
04/11/2015 15:30:00,312.5,323.7,310.99,312.56,157371
05/11/2015 15:30:00,313.0,314.95,307.5,308.28,38309
06/11/2015 15:30:00,309.95,311.75,307.55,308.45,16050
09/11/2015 15:30:00,306.25,310.0,304.95,305.57,51683
10/11/2015 15:30:00,309.5,309.5,302.5,303.62,32828
13/11/2015 15:30:00,307.74,309.3,300.7,301.71,115791
16/11/2015 15:30:00,302.5,303.5,298.13,299.32,110197
17/11/2015 15:30:00,300.25,306.89,297.55,304.23,67571
18/11/2015 15:30:00,305.25,306.75,303.4,304.12,27800
19/11/2015 15:30:00,305.45,316.15,304.25,314.01,61148
20/11/2015 15:30:00,313.4,313.95,309.0,309.81,19934
23/11/2015 15:30:00,309.95,311.3,305.5,307.08,28203
24/11/2015 15:30:00,308.13,308.13,302.5,302.82,33023
26/11/2015 15:30:00,303.7,307.0,300.3,301.18,72189
27/11/2015 15:30:00,301.05,302.16,295.28,297.45,113708
30/11/2015 15:30:00,295.0,298.21,292.5,293.0,142381
01/12/2015 15:30:00,292.95,297.5,292.95,293.96,50000
02/12/2015 15:30:00,294.26,296.0,291.75,293.4,59827
03/12/2015 15:30:00,293.0,293.0,291.0,291.8,66220
04/12/2015 15:30:00,291.8,295.35,290.26,292.85,41218
07/12/2015 15:30:00,294.9,295.5,290.99,294.68,17595
08/12/2015 15:30:00,294.65,294.99,291.0,291.27,50408
09/12/2015 15:30:00,291.36,292.45,287.63,287.99,120058
10/12/2015 15:30:00,288.0,291.0,287.5,288.53,28579
11/12/2015 15:30:00,288.53,296.5,288.25,295.41,53452
14/12/2015 15:30:00,295.5,295.5,289.12,293.99,27743
15/12/2015 15:30:00,295.35,295.5,290.65,291.93,34519
16/12/2015 15:30:00,294.45,295.75,291.05,291.42,31415
17/12/2015 15:30:00,291.6,296.0,291.04,294.17,27911
18/12/2015 15:30:00,294.85,294.85,281.5,283.65,61457
21/12/2015 15:30:00,285.75,286.6,283.26,283.72,28016
22/12/2015 15:30:00,285.25,287.45,284.0,286.5,19130
23/12/2015 15:30:00,288.25,289.7,286.5,288.9,12253
24/12/2015 15:30:00,288.75,289.9,286.25,288.8,14043
28/12/2015 15:30:00,288.8,292.53,287.5,290.23,22286
29/12/2015 15:30:00,291.45,292.75,289.75,291.96,14160
30/12/2015 15:30:00,292.5,293.0,289.51,291.99,19255
31/12/2015 15:30:00,293.13,293.5,290.18,291.4,19210
01/01/2016 15:30:00,291.0,292.5,288.75,289.26,12085
04/01/2016 15:30:00,290.7,291.35,282.6,283.49,35426
