Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,76.78,77.37,76.22,76.7,1331804
26/10/2015 15:30:00,76.78,76.98,76.08,76.36,1006064
27/10/2015 15:30:00,76.25,76.64,75.07,75.32,945490
28/10/2015 15:30:00,74.9,75.35,73.38,73.72,2658244
29/10/2015 15:30:00,73.46,73.46,70.99,72.08,3744837
30/10/2015 15:30:00,72.28,74.17,72.14,72.42,1706662
02/11/2015 15:30:00,72.42,72.79,71.52,72.53,847857
03/11/2015 15:30:00,73.38,74.33,73.24,74.05,1619892
04/11/2015 15:30:00,74.93,75.32,73.35,73.8,5744656
05/11/2015 15:30:00,74.14,74.53,73.35,73.66,5288705
06/11/2015 15:30:00,74.47,74.53,72.59,73.86,2373641
09/11/2015 15:30:00,72.56,73.63,71.24,73.15,2959219
10/11/2015 15:30:00,72.68,73.1,71.83,72.17,861249
13/11/2015 15:30:00,72.0,73.91,71.72,73.24,780118
16/11/2015 15:30:00,72.84,73.52,72.31,72.56,822607
17/11/2015 15:30:00,72.7,74.14,72.68,73.55,901499
18/11/2015 15:30:00,73.49,74.03,72.98,73.63,746679
19/11/2015 15:30:00,74.08,74.64,73.38,74.17,1419395
20/11/2015 15:30:00,74.25,74.64,73.35,73.63,1219764
23/11/2015 15:30:00,73.41,74.14,73.41,73.91,1224691
24/11/2015 15:30:00,73.69,74.59,73.66,74.17,698353
26/11/2015 15:30:00,73.97,75.63,73.91,75.26,2346493
27/11/2015 15:30:00,75.18,75.38,74.53,75.09,903170
30/11/2015 15:30:00,75.12,77.01,74.98,76.61,1128932
01/12/2015 15:30:00,76.56,77.63,76.13,76.5,1417770
02/12/2015 15:30:00,76.5,76.81,75.71,76.16,782402
03/12/2015 15:30:00,75.94,76.5,74.98,75.26,659922
04/12/2015 15:30:00,75.21,75.21,73.38,73.55,774313
07/12/2015 15:30:00,73.69,74.17,72.96,73.77,858288
08/12/2015 15:30:00,73.69,73.8,72.76,73.24,826677
09/12/2015 15:30:00,72.96,74.08,72.59,73.21,1236909
10/12/2015 15:30:00,73.13,73.69,72.7,73.55,611367
11/12/2015 15:30:00,73.69,73.69,71.66,72.0,852171
14/12/2015 15:30:00,71.61,72.79,71.3,72.08,873292
15/12/2015 15:30:00,72.08,73.01,71.58,72.84,1036353
16/12/2015 15:30:00,73.13,75.43,72.96,75.01,1475715
17/12/2015 15:30:00,74.98,76.02,74.11,75.68,614603
18/12/2015 15:30:00,75.38,76.78,74.84,76.16,15759863
21/12/2015 15:30:00,76.16,78.69,76.16,78.44,3508896
22/12/2015 15:30:00,78.5,79.09,77.6,77.91,5429675
23/12/2015 15:30:00,78.08,79.03,78.08,78.78,2092546
24/12/2015 15:30:00,78.75,79.23,78.38,78.81,1251108
28/12/2015 15:30:00,79.0,80.3,78.55,79.96,3240588
29/12/2015 15:30:00,79.99,80.21,78.97,79.28,4824278
30/12/2015 15:30:00,78.89,79.68,78.89,79.31,4606529
31/12/2015 15:30:00,79.31,79.88,78.53,79.4,4027461
01/01/2016 15:30:00,79.54,79.79,79.17,79.31,1816777
04/01/2016 15:30:00,79.03,81.2,78.69,79.28,3830547
05/01/2016 15:30:00,79.34,79.85,77.74,78.27,2395719
06/01/2016 15:30:00,77.96,78.72,77.63,78.47,2992585
07/01/2016 15:30:00,78.47,79.73,77.34,77.68,3817884
08/01/2016 15:30:00,78.75,79.88,78.13,79.68,5819531
11/01/2016 15:30:00,79.03,81.84,78.19,80.58,4659548
12/01/2016 15:30:00,80.72,82.55,79.9,80.27,3718879
13/01/2016 15:30:00,80.52,81.22,78.81,80.38,4197388
14/01/2016 15:30:00,79.54,81.28,79.54,80.35,5781694
15/01/2016 15:30:00,79.96,80.58,77.79,78.24,4179738
18/01/2016 15:30:00,78.75,79.34,77.29,77.71,4168822
19/01/2016 15:30:00,77.88,78.64,75.83,76.47,4096149
20/01/2016 15:30:00,75.71,78.92,73.43,75.74,8998822
21/01/2016 15:30:00,75.83,77.26,74.25,74.36,5859100
22/01/2016 15:30:00,74.93,76.39,74.31,74.87,4555736
25/01/2016 15:30:00,75.38,75.63,73.83,74.81,5002597
27/01/2016 15:30:00,75.26,78.33,75.04,77.77,8171844
28/01/2016 15:30:00,79.31,81.28,79.03,80.83,12709475
29/01/2016 15:30:00,81.45,83.48,81.28,83.17,6309542
01/02/2016 15:30:00,83.19,83.48,82.21,82.55,6906590
02/02/2016 15:30:00,82.41,84.57,81.56,82.27,10275266
03/02/2016 15:30:00,80.92,82.24,79.57,80.58,6805150
04/02/2016 15:30:00,81.48,82.97,80.35,82.58,4908444
05/02/2016 15:30:00,82.72,82.91,81.2,81.7,3471016
08/02/2016 15:30:00,81.59,82.15,79.68,80.3,2148961
09/02/2016 15:30:00,79.76,81.84,79.31,79.85,4104776
10/02/2016 15:30:00,79.31,81.31,79.31,80.63,4567104
11/02/2016 15:30:00,80.35,80.92,75.43,76.89,4076826
12/02/2016 15:30:00,77.63,79.2,76.67,77.77,9036925
15/02/2016 15:30:00,78.24,79.12,77.68,78.02,4761307
16/02/2016 15:30:00,78.24,79.06,77.51,78.36,3806092
17/02/2016 15:30:00,78.67,78.67,77.26,78.53,4390237
18/02/2016 15:30:00,78.81,79.73,78.19,78.67,4938348
19/02/2016 15:30:00,78.64,79.88,78.22,79.31,3556737
22/02/2016 15:30:00,79.31,79.59,77.82,78.55,1290367
23/02/2016 15:30:00,78.75,78.92,76.89,77.12,2179061
24/02/2016 15:30:00,77.63,79.31,77.43,78.58,6405730
25/02/2016 15:30:00,78.81,78.89,73.72,74.11,10716362
26/02/2016 15:30:00,75.09,76.44,74.25,75.18,7037441
29/02/2016 15:30:00,75.57,75.57,72.68,73.15,6460755
01/03/2016 15:30:00,73.69,75.57,73.27,75.23,8033387
02/03/2016 15:30:00,75.94,77.74,75.4,76.16,7622276
03/03/2016 15:30:00,76.78,77.01,75.4,76.3,3969879
04/03/2016 15:30:00,76.72,78.27,76.19,77.99,16440931
08/03/2016 15:30:00,78.47,78.58,76.56,77.46,11324035
09/03/2016 15:30:00,77.01,78.86,76.84,78.61,4097360
10/03/2016 15:30:00,78.81,79.26,77.68,78.55,2088822
11/03/2016 15:30:00,78.55,78.97,77.43,77.74,2635644
14/03/2016 15:30:00,77.96,78.19,77.46,77.96,2488046
15/03/2016 15:30:00,77.71,78.75,77.71,78.16,6556012
16/03/2016 15:30:00,78.41,78.75,77.34,78.05,3470758
17/03/2016 15:30:00,78.33,78.89,77.01,77.63,4223834
18/03/2016 15:30:00,77.91,78.24,76.78,76.98,5172696
21/03/2016 15:30:00,76.81,77.88,76.64,77.63,2629211
22/03/2016 15:30:00,77.63,78.38,77.34,77.74,3728613
23/03/2016 15:30:00,77.23,78.27,77.03,77.32,6494305
28/03/2016 15:30:00,77.57,78.75,76.78,78.24,4889080
29/03/2016 15:30:00,78.75,79.31,77.37,77.71,6456377
30/03/2016 15:30:00,78.13,78.95,77.82,78.61,3261338
31/03/2016 15:30:00,77.91,79.0,77.91,78.24,8840100
01/04/2016 15:30:00,78.64,78.75,77.68,77.79,2213544
04/04/2016 15:30:00,78.05,78.81,77.79,77.96,3178059
05/04/2016 15:30:00,78.64,79.2,78.02,78.22,4356561
06/04/2016 15:30:00,78.67,79.48,78.38,78.58,5860280
07/04/2016 15:30:00,79.12,79.26,78.53,78.86,6979898
08/04/2016 15:30:00,78.89,79.4,78.89,79.26,2325168
11/04/2016 15:30:00,79.12,80.41,79.06,80.02,6952839
12/04/2016 15:30:00,79.88,81.7,79.88,80.52,5007069
13/04/2016 15:30:00,81.2,81.76,80.94,81.56,5759847
18/04/2016 15:30:00,81.56,82.55,80.3,82.1,4132908
20/04/2016 15:30:00,81.96,84.32,81.65,83.25,4340288
21/04/2016 15:30:00,83.45,84.12,81.62,82.21,3552237
22/04/2016 15:30:00,82.29,82.86,81.17,82.15,2430416
25/04/2016 15:30:00,82.18,82.18,80.18,80.89,2027816
26/04/2016 15:30:00,81.25,82.27,80.47,81.65,5042483
27/04/2016 15:30:00,81.73,82.13,80.8,81.2,1787226
28/04/2016 15:30:00,81.11,81.82,79.51,79.79,5292289
29/04/2016 15:30:00,80.02,80.92,79.03,80.66,2465559
02/05/2016 15:30:00,80.44,81.0,79.65,80.35,1903368
03/05/2016 15:30:00,80.44,82.58,80.44,81.68,2571974
04/05/2016 15:30:00,81.45,81.62,79.88,80.3,2495022
05/05/2016 15:30:00,80.44,81.17,79.93,80.58,1558253
06/05/2016 15:30:00,80.52,80.63,79.03,80.13,2089142
09/05/2016 15:30:00,80.16,81.08,79.68,80.72,2827710
10/05/2016 15:30:00,80.52,80.86,79.31,79.79,4364211
11/05/2016 15:30:00,79.2,79.99,78.47,79.57,2573028
12/05/2016 15:30:00,79.82,81.2,79.43,80.94,2743640
13/05/2016 15:30:00,80.61,81.68,80.1,81.42,3779902
16/05/2016 15:30:00,81.53,82.07,80.44,81.25,2531458
17/05/2016 15:30:00,82.13,82.13,80.21,81.51,2674430
18/05/2016 15:30:00,81.0,81.51,80.27,80.47,1447359
19/05/2016 15:30:00,80.61,81.9,80.61,81.22,3394762
20/05/2016 15:30:00,81.34,81.65,80.83,81.45,1718939
23/05/2016 15:30:00,81.9,83.76,81.56,83.33,5677502
24/05/2016 15:30:00,83.81,83.95,82.24,82.52,1994084
25/05/2016 15:30:00,83.25,84.38,82.72,84.21,4051103
26/05/2016 15:30:00,84.38,85.16,83.59,84.71,6383445
27/05/2016 15:30:00,85.16,85.73,83.7,84.85,4294966
30/05/2016 15:30:00,84.99,86.03,84.01,85.36,3402815
31/05/2016 15:30:00,85.5,85.7,84.12,84.38,2417068
01/06/2016 15:30:00,84.71,84.71,83.48,83.76,2823165
02/06/2016 15:30:00,83.76,84.71,83.31,84.49,2222482
03/06/2016 15:30:00,84.71,84.85,83.95,84.6,1942564
06/06/2016 15:30:00,84.49,84.77,83.56,83.95,1347644
07/06/2016 15:30:00,84.04,84.91,83.95,84.32,2121428
08/06/2016 15:30:00,84.38,86.01,83.98,85.81,2140084
09/06/2016 15:30:00,85.89,86.88,85.7,85.95,2542860
10/06/2016 15:30:00,86.01,87.27,85.98,86.85,5056305
13/06/2016 15:30:00,86.48,86.48,85.13,85.39,4049613
14/06/2016 15:30:00,85.36,85.73,84.54,84.68,1639679
15/06/2016 15:30:00,85.02,87.05,85.02,86.85,2974313
16/06/2016 15:30:00,86.85,87.92,85.42,86.96,3029078
17/06/2016 15:30:00,87.19,88.85,86.01,88.34,5054425
20/06/2016 15:30:00,88.31,88.59,87.33,88.12,2946130
21/06/2016 15:30:00,88.06,88.48,87.22,87.75,2968085
22/06/2016 15:30:00,87.78,88.14,86.96,87.53,2698573
23/06/2016 15:30:00,87.47,88.79,85.98,88.12,2828140
24/06/2016 15:30:00,86.32,87.83,84.71,87.64,3381106
27/06/2016 15:30:00,86.09,88.31,86.06,86.63,2880675
28/06/2016 15:30:00,86.93,87.75,86.43,87.44,3286146
29/06/2016 15:30:00,87.64,90.2,87.5,89.58,5534277
30/06/2016 15:30:00,90.0,92.17,89.61,91.74,10516670
01/07/2016 15:30:00,92.25,93.6,91.69,92.9,5602957
04/07/2016 15:30:00,93.77,94.11,92.62,93.04,3236074
05/07/2016 15:30:00,92.98,93.26,90.45,90.7,3099561
07/07/2016 15:30:00,90.56,92.33,90.11,91.88,3325327
08/07/2016 15:30:00,91.97,93.04,90.9,92.5,4389695
11/07/2016 15:30:00,93.43,96.27,93.35,93.71,6262540
12/07/2016 15:30:00,93.94,95.06,93.4,93.71,5165027
13/07/2016 15:30:00,93.85,94.75,90.39,91.04,6247588
14/07/2016 15:30:00,91.43,93.15,91.07,92.84,4178500
15/07/2016 15:30:00,93.4,93.6,91.74,92.39,3729344
18/07/2016 15:30:00,92.59,93.26,91.46,91.8,2189039
19/07/2016 15:30:00,91.86,93.94,91.69,93.6,3368236
20/07/2016 15:30:00,93.94,95.63,93.88,94.7,3977678
21/07/2016 15:30:00,94.67,94.7,91.01,91.41,2356485
22/07/2016 15:30:00,91.97,94.53,91.6,93.57,4053425
25/07/2016 15:30:00,93.68,95.4,93.46,95.03,2231660
26/07/2016 15:30:00,95.2,97.31,94.05,96.41,4656838
27/07/2016 15:30:00,97.31,97.71,96.5,97.0,4979070
