Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,189.02,189.02,182.78,184.59,818468
26/10/2015 15:30:00,184.85,186.37,181.69,184.18,494693
27/10/2015 15:30:00,183.75,185.9,180.89,184.08,414150
28/10/2015 15:30:00,183.62,185.22,180.25,181.81,624867
29/10/2015 15:30:00,182.08,184.15,175.77,183.46,1281138
30/10/2015 15:30:00,181.61,185.9,181.33,183.83,474535
02/11/2015 15:30:00,185.02,188.04,181.51,183.19,512194
03/11/2015 15:30:00,184.12,186.47,182.23,185.51,283650
04/11/2015 15:30:00,186.3,187.63,185.03,186.42,168493
05/11/2015 15:30:00,185.9,185.9,175.03,178.08,389317
06/11/2015 15:30:00,177.88,182.95,177.31,181.66,312473
09/11/2015 15:30:00,179.66,180.25,172.29,173.39,921140
10/11/2015 15:30:00,171.48,173.03,167.58,168.69,429858
13/11/2015 15:30:00,170.7,173.8,166.43,173.06,1427509
16/11/2015 15:30:00,172.47,172.47,167.36,170.53,452632
17/11/2015 15:30:00,172.44,172.44,168.82,169.55,420968
18/11/2015 15:30:00,170.31,170.99,165.63,165.91,293341
19/11/2015 15:30:00,166.68,168.55,164.11,166.05,1473231
20/11/2015 15:30:00,166.64,168.34,165.16,165.62,444613
23/11/2015 15:30:00,166.22,166.53,161.74,162.37,405684
24/11/2015 15:30:00,162.22,166.11,162.13,164.88,618823
26/11/2015 15:30:00,165.63,166.32,164.08,165.18,1179239
27/11/2015 15:30:00,165.56,172.26,165.22,171.33,616926
30/11/2015 15:30:00,171.17,0.0,0.0,170.41,0
01/12/2015 15:30:00,171.53,172.61,170.21,171.57,270095
02/12/2015 15:30:00,172.65,173.97,169.73,172.86,898093
03/12/2015 15:30:00,171.31,172.34,166.71,167.56,479105
04/12/2015 15:30:00,168.5,168.5,162.71,164.72,796575
07/12/2015 15:30:00,165.83,168.27,164.99,166.94,308705
08/12/2015 15:30:00,166.02,168.55,165.73,166.86,515112
09/12/2015 15:30:00,166.59,168.16,165.11,166.3,422390
10/12/2015 15:30:00,167.0,167.0,160.31,160.68,2212538
11/12/2015 15:30:00,160.76,161.42,156.49,157.4,946136
14/12/2015 15:30:00,157.26,157.26,152.82,155.24,788514
15/12/2015 15:30:00,156.28,156.77,152.06,154.1,938238
16/12/2015 15:30:00,155.65,156.63,152.58,154.89,814701
17/12/2015 15:30:00,156.22,157.84,155.31,156.5,538849
18/12/2015 15:30:00,157.29,161.33,155.39,160.04,1213793
21/12/2015 15:30:00,159.98,164.64,159.4,164.32,516664
22/12/2015 15:30:00,165.25,166.56,164.08,165.6,493801
23/12/2015 15:30:00,165.94,167.39,163.94,165.86,221108
24/12/2015 15:30:00,164.86,168.17,164.56,166.31,226333
28/12/2015 15:30:00,166.02,166.85,165.11,165.97,167063
29/12/2015 15:30:00,166.8,167.9,164.59,165.25,306967
30/12/2015 15:30:00,166.02,168.15,164.77,165.75,322319
31/12/2015 15:30:00,165.63,170.31,164.86,167.33,536789
01/01/2016 15:30:00,167.39,169.51,166.61,168.69,116323
04/01/2016 15:30:00,166.93,171.05,162.55,163.86,272775
05/01/2016 15:30:00,165.43,169.79,163.17,168.54,335402
06/01/2016 15:30:00,168.54,173.72,168.25,170.04,732764
07/01/2016 15:30:00,168.56,168.76,158.89,160.09,251058
08/01/2016 15:30:00,161.15,166.8,161.15,164.07,514771
11/01/2016 15:30:00,163.1,164.02,158.23,159.4,350002
12/01/2016 15:30:00,160.57,160.71,157.06,157.45,207760
13/01/2016 15:30:00,158.04,159.7,153.24,157.19,641453
14/01/2016 15:30:00,155.46,157.56,153.16,155.85,1206057
15/01/2016 15:30:00,155.88,158.72,148.49,149.05,236569
18/01/2016 15:30:00,149.85,151.41,144.78,149.51,488355
19/01/2016 15:30:00,151.41,152.77,147.19,151.07,433059
20/01/2016 15:30:00,150.25,150.25,145.1,146.18,408420
21/01/2016 15:30:00,147.12,148.68,143.61,144.4,704172
22/01/2016 15:30:00,146.34,149.51,145.39,146.65,525161
25/01/2016 15:30:00,147.48,149.47,145.56,146.01,208659
27/01/2016 15:30:00,146.15,147.71,144.08,145.61,424843
28/01/2016 15:30:00,145.37,147.3,143.63,146.29,790375
29/01/2016 15:30:00,146.17,167.45,146.17,164.51,1409489
01/02/2016 15:30:00,165.24,165.48,156.11,157.76,545574
02/02/2016 15:30:00,157.76,164.16,154.33,156.12,536748
03/02/2016 15:30:00,154.92,161.7,152.77,156.7,496733
04/02/2016 15:30:00,158.7,163.71,158.12,162.25,622258
05/02/2016 15:30:00,163.69,165.23,161.78,163.96,545454
08/02/2016 15:30:00,165.58,169.53,164.48,166.93,399665
09/02/2016 15:30:00,165.63,165.63,158.19,159.39,383163
10/02/2016 15:30:00,157.84,159.54,155.7,157.93,267121
11/02/2016 15:30:00,157.84,158.21,149.92,151.9,516571
12/02/2016 15:30:00,152.29,0.0,0.0,150.05,0
15/02/2016 15:30:00,158.62,160.19,151.82,158.46,333830
16/02/2016 15:30:00,159.79,164.07,156.97,157.67,388009
17/02/2016 15:30:00,158.04,163.1,155.91,162.5,392773
18/02/2016 15:30:00,163.69,165.21,160.86,162.69,229782
19/02/2016 15:30:00,162.69,164.23,158.08,161.0,322573
22/02/2016 15:30:00,163.14,165.44,159.25,163.98,268169
23/02/2016 15:30:00,165.67,166.28,156.28,157.71,536761
24/02/2016 15:30:00,156.09,160.27,155.21,158.82,326310
25/02/2016 15:30:00,160.17,160.17,152.5,155.1,790142
26/02/2016 15:30:00,155.29,157.15,151.12,155.91,484570
29/02/2016 15:30:00,156.57,158.41,150.66,156.97,747572
01/03/2016 15:30:00,156.89,168.34,156.31,165.65,979327
02/03/2016 15:30:00,166.24,172.03,166.24,169.06,727987
03/03/2016 15:30:00,172.25,172.65,167.41,171.15,533333
04/03/2016 15:30:00,171.11,178.33,169.15,177.52,482394
08/03/2016 15:30:00,177.52,181.2,174.51,179.67,517603
09/03/2016 15:30:00,177.13,182.98,174.9,182.44,510725
10/03/2016 15:30:00,182.78,183.91,179.28,180.17,382587
11/03/2016 15:30:00,181.03,183.39,179.28,180.57,330452
14/03/2016 15:30:00,180.83,185.31,180.83,183.55,309369
15/03/2016 15:30:00,183.76,184.86,179.47,180.25,211948
16/03/2016 15:30:00,180.43,180.86,173.1,177.58,559780
17/03/2016 15:30:00,178.98,180.39,176.43,177.75,436575
18/03/2016 15:30:00,178.11,179.06,173.85,177.32,346796
21/03/2016 15:30:00,177.13,182.39,175.78,181.53,338127
22/03/2016 15:30:00,182.2,183.13,179.68,181.92,413544
23/03/2016 15:30:00,180.25,182.39,175.38,176.65,272457
28/03/2016 15:30:00,174.13,179.94,174.13,176.49,296901
29/03/2016 15:30:00,177.24,183.17,176.61,179.89,333036
30/03/2016 15:30:00,181.95,186.43,181.26,184.77,580604
31/03/2016 15:30:00,184.54,188.04,183.46,185.74,798291
01/04/2016 15:30:00,186.12,186.63,179.28,180.52,420652
04/04/2016 15:30:00,180.26,180.8,177.74,179.93,377581
05/04/2016 15:30:00,179.66,182.15,177.58,180.11,321735
06/04/2016 15:30:00,180.93,182.0,176.63,180.51,373814
07/04/2016 15:30:00,181.22,185.9,179.49,184.44,370531
08/04/2016 15:30:00,185.71,186.65,181.71,184.33,357532
11/04/2016 15:30:00,183.37,186.66,182.82,185.68,160344
12/04/2016 15:30:00,183.56,191.75,183.18,188.32,338003
13/04/2016 15:30:00,190.1,195.82,189.79,192.15,638064
18/04/2016 15:30:00,192.14,196.56,191.63,194.87,539227
20/04/2016 15:30:00,193.5,195.63,191.36,193.54,441223
21/04/2016 15:30:00,192.47,194.24,187.56,188.23,465198
22/04/2016 15:30:00,187.84,189.65,185.16,186.01,329340
25/04/2016 15:30:00,186.17,192.66,186.17,190.87,489822
26/04/2016 15:30:00,190.06,193.7,189.99,192.6,341800
27/04/2016 15:30:00,191.36,194.64,191.36,193.77,458149
28/04/2016 15:30:00,193.79,193.95,186.1,187.9,835574
29/04/2016 15:30:00,187.95,188.04,180.25,183.73,543385
02/05/2016 15:30:00,187.63,212.83,187.63,211.04,3591676
03/05/2016 15:30:00,212.44,219.71,201.57,203.18,2589850
04/05/2016 15:30:00,203.05,210.28,201.23,203.14,1246010
05/05/2016 15:30:00,204.22,207.14,199.55,200.51,945297
06/05/2016 15:30:00,202.95,206.28,201.15,204.78,377905
09/05/2016 15:30:00,205.39,206.17,202.85,204.42,484031
10/05/2016 15:30:00,205.58,209.93,204.52,207.21,756201
11/05/2016 15:30:00,203.63,211.99,201.98,211.31,641743
12/05/2016 15:30:00,213.38,218.97,211.65,218.18,981490
13/05/2016 15:30:00,217.47,218.05,206.18,208.5,617516
16/05/2016 15:30:00,209.11,211.95,206.28,208.83,525054
17/05/2016 15:30:00,208.91,216.09,208.91,214.12,724490
18/05/2016 15:30:00,214.21,223.52,209.01,221.33,852210
19/05/2016 15:30:00,221.33,222.47,210.84,214.52,622385
20/05/2016 15:30:00,217.26,218.52,208.01,209.01,583788
23/05/2016 15:30:00,212.4,218.83,210.04,217.3,787181
24/05/2016 15:30:00,218.64,226.76,215.9,225.37,1232626
25/05/2016 15:30:00,227.02,230.27,221.03,222.58,700450
26/05/2016 15:30:00,220.41,234.57,220.41,233.17,895527
27/05/2016 15:30:00,232.86,237.7,228.48,232.68,745627
30/05/2016 15:30:00,231.92,237.7,229.09,233.87,517157
31/05/2016 15:30:00,232.71,234.3,228.66,230.02,859703
01/06/2016 15:30:00,230.04,232.55,225.26,226.51,548249
02/06/2016 15:30:00,226.72,227.99,223.73,225.38,564392
03/06/2016 15:30:00,226.04,230.29,226.04,228.32,620747
06/06/2016 15:30:00,228.32,230.76,221.13,224.11,530674
07/06/2016 15:30:00,226.03,230.2,223.62,228.38,1019536
08/06/2016 15:30:00,230.45,236.64,228.54,235.7,1248978
09/06/2016 15:30:00,235.79,238.71,231.93,233.27,919445
10/06/2016 15:30:00,233.84,235.14,230.02,230.86,329343
13/06/2016 15:30:00,228.97,232.67,224.09,225.89,469668
14/06/2016 15:30:00,227.48,229.34,224.87,226.51,357411
15/06/2016 15:30:00,227.02,229.53,225.09,226.05,290455
16/06/2016 15:30:00,225.77,227.3,223.32,226.04,628357
17/06/2016 15:30:00,226.22,226.22,221.37,222.44,387873
20/06/2016 15:30:00,221.0,223.63,219.91,221.91,481034
21/06/2016 15:30:00,221.76,226.77,219.97,225.26,782556
22/06/2016 15:30:00,225.44,226.66,222.92,225.17,232899
23/06/2016 15:30:00,225.05,225.89,222.38,223.89,413674
24/06/2016 15:30:00,221.13,224.67,213.58,223.49,557790
27/06/2016 15:30:00,221.95,226.67,220.72,225.35,281734
28/06/2016 15:30:00,225.46,225.85,222.48,224.67,359893
29/06/2016 15:30:00,224.66,225.61,221.37,223.09,599957
30/06/2016 15:30:00,224.68,236.7,224.46,234.6,2782506
01/07/2016 15:30:00,236.7,242.61,235.44,239.03,700953
04/07/2016 15:30:00,239.39,245.92,239.39,241.73,554024
05/07/2016 15:30:00,241.59,244.15,238.71,239.85,331394
07/07/2016 15:30:00,241.61,241.68,235.56,236.37,534126
08/07/2016 15:30:00,236.94,240.16,233.65,235.94,311106
11/07/2016 15:30:00,240.42,251.72,237.77,249.36,617963
12/07/2016 15:30:00,253.31,255.23,251.03,253.53,838397
13/07/2016 15:30:00,251.8,253.29,248.02,250.64,378278
14/07/2016 15:30:00,250.64,251.97,246.71,248.14,381289
15/07/2016 15:30:00,250.23,251.93,247.09,247.77,513851
18/07/2016 15:30:00,247.68,249.13,237.75,239.48,974202
19/07/2016 15:30:00,237.93,240.26,231.21,234.3,988718
20/07/2016 15:30:00,235.5,236.13,230.91,232.38,444112
21/07/2016 15:30:00,233.43,237.99,226.21,227.33,896812
22/07/2016 15:30:00,227.8,232.47,225.07,229.54,523789
25/07/2016 15:30:00,230.91,234.46,228.99,233.59,529806
26/07/2016 15:30:00,233.59,240.6,233.59,236.35,859188
27/07/2016 15:30:00,237.72,248.04,235.2,245.31,1506831
28/07/2016 15:30:00,245.06,245.55,238.71,240.24,899603
29/07/2016 15:30:00,240.99,257.61,239.93,249.47,1796249
01/08/2016 15:30:00,249.62,258.08,244.55,253.04,1127654
02/08/2016 15:30:00,253.3,254.82,246.5,250.15,508988
03/08/2016 15:30:00,250.4,251.18,240.27,241.56,684323
04/08/2016 15:30:00,244.55,247.42,239.19,246.17,477636
05/08/2016 15:30:00,248.45,253.91,246.5,253.21,485315
08/08/2016 15:30:00,254.4,256.26,247.67,251.24,391240
09/08/2016 15:30:00,252.35,254.84,248.87,251.11,430233
10/08/2016 15:30:00,251.58,253.39,244.06,248.81,430629
11/08/2016 15:30:00,250.62,251.96,243.97,249.19,315366
12/08/2016 15:30:00,248.88,254.88,247.48,252.54,502949
16/08/2016 15:30:00,255.27,255.27,246.21,247.84,748255
17/08/2016 15:30:00,249.04,250.79,246.89,248.93,420232
18/08/2016 15:30:00,249.73,251.76,247.92,250.1,336580
19/08/2016 15:30:00,251.12,251.12,246.08,247.62,221720
22/08/2016 15:30:00,247.48,250.38,246.32,248.8,286949
23/08/2016 15:30:00,249.53,249.53,243.83,246.78,240870
24/08/2016 15:30:00,247.85,247.85,243.42,246.46,265097
25/08/2016 15:30:00,247.48,249.43,241.66,243.37,333483
26/08/2016 15:30:00,244.22,246.37,241.16,245.15,177239
29/08/2016 15:30:00,244.55,246.2,241.96,245.09,334582
30/08/2016 15:30:00,246.03,248.63,245.35,247.32,308171
31/08/2016 15:30:00,247.48,249.3,239.75,241.06,798570
01/09/2016 15:30:00,240.69,241.62,232.1,234.14,709782
02/09/2016 15:30:00,234.93,239.1,232.61,237.05,565598
06/09/2016 15:30:00,237.67,242.02,236.74,241.22,703907
07/09/2016 15:30:00,241.24,241.72,234.29,235.23,516166
08/09/2016 15:30:00,235.23,238.3,234.48,237.04,247636
09/09/2016 15:30:00,237.73,240.46,234.55,238.25,432656
12/09/2016 15:30:00,236.0,236.0,227.99,229.0,324079
14/09/2016 15:30:00,229.75,229.75,221.17,225.2,706171
15/09/2016 15:30:00,225.24,225.61,220.47,223.36,499203
16/09/2016 15:30:00,226.43,227.02,219.44,220.89,926737
19/09/2016 15:30:00,220.89,223.23,217.6,220.24,724353
20/09/2016 15:30:00,222.15,225.54,217.98,222.11,593780
21/09/2016 15:30:00,223.7,226.16,220.5,222.43,772381
22/09/2016 15:30:00,225.46,232.45,224.93,231.27,1537859
23/09/2016 15:30:00,233.25,236.65,229.92,231.26,1235954
26/09/2016 15:30:00,230.91,233.04,224.09,225.96,415799
27/09/2016 15:30:00,226.55,227.45,221.93,223.69,477276
28/09/2016 15:30:00,224.11,230.95,224.11,229.92,400361
29/09/2016 15:30:00,231.0,233.33,214.77,218.93,733919
30/09/2016 15:30:00,218.83,227.99,218.7,226.56,508298
03/10/2016 15:30:00,228.71,239.68,224.09,237.57,703820
04/10/2016 15:30:00,238.26,240.66,234.14,236.44,495379
05/10/2016 15:30:00,236.57,242.02,235.3,240.11,453929
06/10/2016 15:30:00,240.27,244.55,233.32,235.08,770141
07/10/2016 15:30:00,235.08,237.56,230.8,232.08,596362
10/10/2016 15:30:00,234.3,234.61,229.06,229.56,205380
13/10/2016 15:30:00,227.87,227.87,222.13,224.35,449932
14/10/2016 15:30:00,225.07,226.41,222.69,225.45,486687
17/10/2016 15:30:00,224.54,227.63,218.99,220.49,457011
18/10/2016 15:30:00,220.59,226.03,216.75,224.82,799939
19/10/2016 15:30:00,226.63,228.97,220.95,222.48,638906
20/10/2016 15:30:00,225.07,225.95,220.74,222.04,1019974
21/10/2016 15:30:00,221.27,225.07,220.64,224.38,384834
24/10/2016 15:30:00,225.75,227.99,223.78,224.99,487344
25/10/2016 15:30:00,224.91,226.82,222.75,225.49,482804
26/10/2016 15:30:00,225.13,225.13,218.17,219.8,695243
27/10/2016 15:30:00,220.0,220.0,210.66,212.61,624831
28/10/2016 15:30:00,211.43,216.2,208.31,210.41,602676
01/11/2016 15:30:00,210.7,214.07,204.63,205.34,572547
02/11/2016 15:30:00,204.41,208.1,201.5,207.13,882644
03/11/2016 15:30:00,205.09,209.48,202.87,203.95,470281
04/11/2016 15:30:00,204.04,205.59,197.8,200.88,450783
07/11/2016 15:30:00,202.49,206.91,198.48,201.69,369956
08/11/2016 15:30:00,202.45,207.65,202.26,205.86,537350
09/11/2016 15:30:00,196.81,196.81,164.7,192.52,1610601
10/11/2016 15:30:00,194.86,202.18,186.8,188.33,1624320
11/11/2016 15:30:00,186.37,186.37,160.27,171.88,2433820
15/11/2016 15:30:00,174.6,174.6,156.87,163.18,2232043
16/11/2016 15:30:00,167.58,172.64,163.9,166.06,1349980
17/11/2016 15:30:00,167.38,172.45,163.19,164.67,1546576
18/11/2016 15:30:00,165.05,166.7,161.4,162.08,928369
21/11/2016 15:30:00,163.66,163.66,154.92,161.45,1350735
22/11/2016 15:30:00,164.66,166.21,156.96,160.86,545788
23/11/2016 15:30:00,163.68,167.38,159.2,166.09,1341405
24/11/2016 15:30:00,165.98,172.06,164.48,169.85,1681771
25/11/2016 15:30:00,171.48,182.18,170.9,178.13,1337312
28/11/2016 15:30:00,177.31,182.78,176.36,180.83,738417
29/11/2016 15:30:00,181.03,182.97,176.12,177.04,832309
30/11/2016 15:30:00,178.81,178.81,175.03,176.25,901709
01/12/2016 15:30:00,176.74,178.8,173.43,175.69,545225
02/12/2016 15:30:00,171.7,176.2,171.7,174.51,595248
05/12/2016 15:30:00,174.52,176.74,173.72,174.7,883722
06/12/2016 15:30:00,176.31,181.01,175.56,179.38,603786
07/12/2016 15:30:00,180.25,180.25,173.6,175.03,2209401
08/12/2016 15:30:00,177.72,178.5,174.79,177.29,1805079
09/12/2016 15:30:00,174.99,177.8,170.99,173.38,1199330
12/12/2016 15:30:00,173.02,175.96,168.03,169.1,456033
13/12/2016 15:30:00,169.34,171.09,163.35,164.44,577392
14/12/2016 15:30:00,166.41,168.36,163.3,163.85,689782
15/12/2016 15:30:00,164.47,168.85,161.98,166.09,681832
16/12/2016 15:30:00,168.27,168.63,164.57,165.31,688517
19/12/2016 15:30:00,166.02,166.02,160.76,161.56,593197
20/12/2016 15:30:00,160.2,161.24,156.87,157.97,1086534
21/12/2016 15:30:00,158.81,160.67,157.14,157.77,793225
22/12/2016 15:30:00,157.96,159.95,153.55,154.23,1099560
23/12/2016 15:30:00,154.33,159.39,153.94,156.6,1297206
26/12/2016 15:30:00,156.12,156.28,151.61,153.02,527826
27/12/2016 15:30:00,154.14,158.22,152.97,157.52,320218
28/12/2016 15:30:00,157.84,161.63,156.6,158.75,498446
29/12/2016 15:30:00,158.93,163.49,158.93,162.14,814567
30/12/2016 15:30:00,163.49,168.28,162.91,166.31,777423
02/01/2017 15:30:00,166.93,173.43,166.61,172.34,796843
03/01/2017 15:30:00,173.43,176.92,171.54,174.0,642305
04/01/2017 15:30:00,172.65,178.35,172.65,177.68,677908
05/01/2017 15:30:00,179.22,180.05,177.13,178.27,1309221
06/01/2017 15:30:00,180.25,183.93,178.72,180.8,942159
09/01/2017 15:30:00,181.61,183.85,177.76,181.13,372184
10/01/2017 15:30:00,182.37,183.56,180.44,183.07,301001
11/01/2017 15:30:00,183.17,192.32,181.72,188.05,1143673
12/01/2017 15:30:00,189.41,190.32,181.81,183.68,1067085
13/01/2017 15:30:00,184.91,186.87,183.27,186.15,283267
16/01/2017 15:30:00,187.46,188.74,184.05,187.23,414933
17/01/2017 15:30:00,187.46,190.28,184.93,186.13,343708
18/01/2017 15:30:00,185.12,188.39,183.71,184.62,404171
19/01/2017 15:30:00,184.93,184.98,182.8,183.75,461682
20/01/2017 15:30:00,183.66,183.66,176.88,177.77,631311
23/01/2017 15:30:00,177.81,181.3,176.35,179.33,536156
24/01/2017 15:30:00,180.54,184.48,179.48,183.83,547693
25/01/2017 15:30:00,184.16,186.06,182.34,185.38,766868
27/01/2017 15:30:00,186.04,190.97,184.56,187.35,823461
30/01/2017 15:30:00,187.56,191.55,182.55,190.59,537229
31/01/2017 15:30:00,192.49,194.21,181.93,186.05,995746
01/02/2017 15:30:00,184.87,191.94,182.2,190.92,924464
02/02/2017 15:30:00,190.97,191.88,187.98,189.15,428449
03/02/2017 15:30:00,189.95,191.13,187.11,187.84,445751
06/02/2017 15:30:00,189.02,190.95,186.1,187.91,342383
07/02/2017 15:30:00,188.43,189.02,182.86,185.01,317155
08/02/2017 15:30:00,185.9,187.64,182.96,186.03,445942
09/02/2017 15:30:00,185.68,187.35,183.17,185.61,1384969
10/02/2017 15:30:00,185.71,190.74,185.71,187.98,1114941
13/02/2017 15:30:00,188.5,189.39,186.1,188.3,283014
14/02/2017 15:30:00,188.71,188.71,184.54,185.34,574314
15/02/2017 15:30:00,182.22,187.65,180.25,181.92,653520
16/02/2017 15:30:00,182.59,185.49,180.7,183.59,397844
17/02/2017 15:30:00,184.93,186.87,181.05,183.1,446328
20/02/2017 15:30:00,183.61,184.3,182.0,183.51,295933
21/02/2017 15:30:00,183.56,185.47,182.23,184.83,376934
22/02/2017 15:30:00,185.51,185.67,182.49,184.04,588170
23/02/2017 15:30:00,184.15,185.95,180.85,181.93,2368504
27/02/2017 15:30:00,181.91,183.52,181.27,181.92,378742
28/02/2017 15:30:00,182.2,182.77,180.37,181.07,538592
01/03/2017 15:30:00,181.42,182.29,177.61,180.38,691605
02/03/2017 15:30:00,180.62,182.03,174.41,175.22,492200
03/03/2017 15:30:00,173.51,180.93,173.08,179.2,1006963
06/03/2017 15:30:00,178.52,182.78,178.52,181.94,482125
07/03/2017 15:30:00,182.59,186.49,182.01,185.55,882154
08/03/2017 15:30:00,186.1,188.33,183.85,187.13,759820
09/03/2017 15:30:00,186.81,188.74,186.16,187.25,1314892
10/03/2017 15:30:00,186.78,188.17,186.07,186.94,408745
14/03/2017 15:30:00,190.87,199.5,190.87,197.5,2405301
15/03/2017 15:30:00,195.86,212.4,195.86,208.15,1470886
16/03/2017 15:30:00,208.83,209.64,202.43,204.62,754555
17/03/2017 15:30:00,205.97,206.63,203.65,205.89,1111993
20/03/2017 15:30:00,207.53,207.71,203.54,205.33,346629
21/03/2017 15:30:00,205.91,207.04,198.96,204.54,573271
22/03/2017 15:30:00,202.46,202.89,199.78,201.56,702732
23/03/2017 15:30:00,201.68,204.62,199.06,201.28,559052
24/03/2017 15:30:00,202.27,204.02,200.37,201.08,711671
27/03/2017 15:30:00,200.52,204.44,198.01,198.92,562545
28/03/2017 15:30:00,200.71,210.37,199.93,209.21,1230530
29/03/2017 15:30:00,210.06,210.06,203.91,206.98,642706
30/03/2017 15:30:00,207.92,211.43,202.98,205.13,1425840
31/03/2017 15:30:00,207.04,211.26,205.0,210.06,710114
03/04/2017 15:30:00,211.43,216.1,211.24,215.15,546692
05/04/2017 15:30:00,215.33,218.15,212.14,215.82,736126
06/04/2017 15:30:00,212.4,215.33,210.95,213.18,618339
07/04/2017 15:30:00,211.82,214.77,210.46,212.04,319658
10/04/2017 15:30:00,214.35,216.3,210.0,212.3,776995
11/04/2017 15:30:00,212.4,214.35,209.3,211.25,565861
12/04/2017 15:30:00,211.23,212.08,206.5,207.88,770302
13/04/2017 15:30:00,207.53,208.49,203.85,204.77,286976
17/04/2017 15:30:00,206.17,210.96,202.77,210.15,288246
18/04/2017 15:30:00,210.45,212.08,205.85,206.64,254183
19/04/2017 15:30:00,205.0,214.04,203.63,213.37,680549
20/04/2017 15:30:00,213.38,213.76,208.71,209.47,371203
21/04/2017 15:30:00,211.62,211.62,204.65,205.29,599269
24/04/2017 15:30:00,206.17,206.41,203.19,205.3,412797
