Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,383.9,388.8,382.0,383.0,6744440
26/10/2015 15:30:00,386.45,389.9,383.25,384.6,5064657
27/10/2015 15:30:00,383.0,386.95,382.2,383.35,4423221
28/10/2015 15:30:00,382.8,390.75,382.2,386.3,8018683
29/10/2015 15:30:00,388.95,396.8,384.25,391.2,15381516
30/10/2015 15:30:00,389.75,390.8,383.5,384.95,6651831
02/11/2015 15:30:00,386.1,392.05,384.4,387.95,7511675
03/11/2015 15:30:00,391.25,391.25,380.8,382.05,5887746
04/11/2015 15:30:00,390.05,407.25,390.05,404.85,13985828
05/11/2015 15:30:00,403.6,412.8,401.45,404.0,12912937
06/11/2015 15:30:00,399.9,404.4,392.5,396.15,11016134
09/11/2015 15:30:00,374.0,413.5,373.05,411.75,22128119
10/11/2015 15:30:00,408.0,417.4,402.7,407.45,12654616
13/11/2015 15:30:00,411.35,417.5,401.8,403.95,11007237
16/11/2015 15:30:00,401.0,404.85,394.2,400.25,7673487
17/11/2015 15:30:00,403.0,410.7,398.55,407.5,6063987
18/11/2015 15:30:00,407.95,413.5,403.25,406.25,6960097
19/11/2015 15:30:00,409.9,409.9,403.5,406.95,5645524
20/11/2015 15:30:00,408.5,410.7,401.35,402.85,5420173
23/11/2015 15:30:00,400.35,404.4,396.5,402.1,4658448
24/11/2015 15:30:00,399.1,406.5,397.05,400.95,5624579
26/11/2015 15:30:00,404.75,426.45,404.0,424.4,15070353
27/11/2015 15:30:00,425.55,431.9,416.45,417.65,9720127
30/11/2015 15:30:00,419.9,429.6,418.0,423.5,9901753
01/12/2015 15:30:00,427.0,427.0,416.1,417.35,6402692
02/12/2015 15:30:00,415.9,418.9,410.3,413.15,6543300
03/12/2015 15:30:00,408.7,411.9,404.25,405.6,5999323
04/12/2015 15:30:00,402.5,411.5,398.7,399.95,8477407
07/12/2015 15:30:00,402.9,403.0,395.3,399.15,6156323
08/12/2015 15:30:00,396.95,406.95,396.1,402.4,7851653
09/12/2015 15:30:00,402.8,405.0,392.75,393.95,6103583
10/12/2015 15:30:00,401.2,401.2,385.25,389.6,10684178
11/12/2015 15:30:00,390.9,392.65,375.3,377.95,6537672
14/12/2015 15:30:00,369.75,373.5,360.5,371.6,12682481
15/12/2015 15:30:00,371.25,380.95,365.5,379.5,7717531
16/12/2015 15:30:00,375.9,385.0,372.85,380.45,11874858
17/12/2015 15:30:00,385.0,387.0,376.05,382.95,7604665
18/12/2015 15:30:00,381.9,384.8,376.8,378.25,6454322
21/12/2015 15:30:00,379.1,382.55,377.5,380.15,4015631
22/12/2015 15:30:00,380.9,382.8,377.2,378.1,3802024
23/12/2015 15:30:00,379.9,380.85,377.5,378.45,3953766
24/12/2015 15:30:00,380.9,384.75,377.6,382.4,4568751
28/12/2015 15:30:00,384.9,395.0,383.75,394.0,7166351
29/12/2015 15:30:00,392.9,397.5,388.75,391.85,7359611
30/12/2015 15:30:00,392.0,395.0,390.5,393.45,4866177
31/12/2015 15:30:00,394.0,395.75,389.15,391.3,6410622
01/01/2016 15:30:00,392.5,403.0,373.0,401.9,4377363
04/01/2016 15:30:00,400.0,400.1,375.05,377.05,7822660
05/01/2016 15:30:00,381.05,382.45,372.1,374.45,6901068
06/01/2016 15:30:00,374.25,375.5,364.6,365.9,7211230
07/01/2016 15:30:00,356.25,358.0,338.1,343.55,11782307
08/01/2016 15:30:00,345.6,355.85,345.6,353.35,8770370
11/01/2016 15:30:00,343.9,364.75,341.65,360.2,10576721
12/01/2016 15:30:00,362.7,363.95,351.6,355.4,8363062
13/01/2016 15:30:00,360.45,369.8,356.3,364.6,14191511
14/01/2016 15:30:00,356.1,359.4,346.8,354.3,10673343
15/01/2016 15:30:00,353.9,353.9,339.35,341.3,6557584
18/01/2016 15:30:00,341.0,343.3,334.4,340.2,6285144
19/01/2016 15:30:00,343.0,357.2,342.0,354.15,7304555
20/01/2016 15:30:00,349.65,349.65,338.8,342.25,9156596
21/01/2016 15:30:00,340.65,344.15,323.0,328.55,16524035
22/01/2016 15:30:00,335.5,345.9,331.5,339.5,9595392
25/01/2016 15:30:00,345.5,345.5,331.15,332.6,6106931
27/01/2016 15:30:00,338.0,341.0,333.2,337.05,8333202
28/01/2016 15:30:00,336.3,341.4,332.3,334.2,13153617
29/01/2016 15:30:00,332.0,340.6,324.2,336.9,10350998
01/02/2016 15:30:00,338.75,342.4,332.25,338.5,6563774
02/02/2016 15:30:00,343.8,344.7,327.7,329.55,9179304
03/02/2016 15:30:00,325.55,325.95,317.05,320.3,6685445
04/02/2016 15:30:00,325.3,329.3,321.2,325.5,6086981
05/02/2016 15:30:00,330.5,339.0,326.65,337.1,9236577
08/02/2016 15:30:00,334.95,334.95,321.35,322.45,6974342
09/02/2016 15:30:00,319.5,322.65,308.8,310.65,12489713
10/02/2016 15:30:00,309.85,309.95,288.25,291.55,21756193
11/02/2016 15:30:00,298.5,300.0,265.8,276.35,21632886
12/02/2016 15:30:00,281.0,303.95,271.6,296.05,21542152
15/02/2016 15:30:00,297.9,320.75,297.7,317.25,18888699
16/02/2016 15:30:00,319.4,324.2,298.9,301.15,13598374
17/02/2016 15:30:00,302.95,313.5,298.65,310.15,13717526
18/02/2016 15:30:00,315.15,319.1,306.2,314.0,12498247
19/02/2016 15:30:00,312.1,320.0,311.1,318.2,7706462
22/02/2016 15:30:00,320.0,324.2,313.6,318.85,8699779
23/02/2016 15:30:00,324.0,324.75,314.45,318.55,11635881
24/02/2016 15:30:00,316.0,316.0,304.75,306.3,7629905
25/02/2016 15:30:00,309.8,312.2,296.2,298.2,12959812
26/02/2016 15:30:00,303.2,305.2,297.6,301.8,9181680
29/02/2016 15:30:00,303.2,305.75,290.25,299.7,12607181
01/03/2016 15:30:00,301.1,317.0,301.1,315.35,11440045
