Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,23.57,23.97,23.26,23.44,5005801
26/10/2015 15:30:00,23.57,23.97,23.46,23.79,4188032
27/10/2015 15:30:00,23.71,23.85,23.25,23.43,3403655
28/10/2015 15:30:00,23.3,23.68,23.25,23.55,3436974
29/10/2015 15:30:00,23.47,23.96,23.31,23.59,4589032
30/10/2015 15:30:00,23.67,24.28,23.36,23.5,6173260
02/11/2015 15:30:00,23.49,23.5,22.51,22.76,4909596
03/11/2015 15:30:00,23.03,23.15,22.38,22.46,4492769
04/11/2015 15:30:00,22.79,22.87,22.28,22.43,4861348
05/11/2015 15:30:00,22.49,22.49,21.37,21.48,8801639
06/11/2015 15:30:00,20.86,21.14,20.49,20.98,9906366
09/11/2015 15:30:00,20.48,21.38,20.26,21.18,6272638
10/11/2015 15:30:00,21.04,21.18,20.69,20.78,4536410
13/11/2015 15:30:00,20.84,21.3,20.64,21.21,4426975
16/11/2015 15:30:00,21.23,22.09,20.98,21.97,6923327
17/11/2015 15:30:00,22.09,22.46,22.0,22.35,5240948
18/11/2015 15:30:00,22.3,22.39,21.46,21.52,5283608
19/11/2015 15:30:00,21.68,21.89,21.49,21.79,3661120
20/11/2015 15:30:00,21.73,22.18,21.73,21.91,3859405
23/11/2015 15:30:00,21.99,21.99,21.26,21.38,4102378
24/11/2015 15:30:00,21.28,21.57,21.2,21.38,4179013
26/11/2015 15:30:00,21.49,21.91,21.36,21.71,4588073
27/11/2015 15:30:00,21.71,22.39,21.68,22.03,5393087
30/11/2015 15:30:00,22.14,22.33,21.8,21.82,4556796
01/12/2015 15:30:00,21.99,22.72,21.94,22.63,6586598
02/12/2015 15:30:00,22.86,23.43,22.69,23.23,8858386
03/12/2015 15:30:00,22.88,23.2,22.56,22.88,7107867
04/12/2015 15:30:00,22.68,23.27,22.59,22.89,5538118
07/12/2015 15:30:00,23.32,23.58,23.1,23.2,4936426
08/12/2015 15:30:00,23.06,23.16,22.25,22.37,4545921
09/12/2015 15:30:00,22.29,22.47,21.43,21.61,4727674
10/12/2015 15:30:00,21.65,22.37,21.58,22.2,4804837
11/12/2015 15:30:00,22.4,23.24,22.4,22.95,11922435
14/12/2015 15:30:00,22.77,23.71,22.72,23.34,11314471
15/12/2015 15:30:00,23.53,23.56,22.99,23.28,5218812
16/12/2015 15:30:00,23.49,23.69,23.07,23.31,5759897
17/12/2015 15:30:00,23.52,24.58,23.44,24.5,12112293
18/12/2015 15:30:00,24.44,24.58,24.2,24.36,6944209
21/12/2015 15:30:00,24.34,24.91,24.26,24.62,6195237
22/12/2015 15:30:00,24.68,24.94,24.44,24.52,4544256
23/12/2015 15:30:00,24.99,25.38,24.99,25.2,7702901
24/12/2015 15:30:00,25.34,25.34,24.83,25.09,3843796
28/12/2015 15:30:00,25.15,25.18,24.11,24.21,5317617
29/12/2015 15:30:00,24.37,24.5,24.14,24.32,3800523
30/12/2015 15:30:00,24.43,24.94,24.31,24.65,6812728
31/12/2015 15:30:00,24.77,24.85,24.48,24.75,4446690
