Date,Open,High,Low,Close,Volume
23/10/2015 15:30:00,107.59,107.59,105.87,106.45,1859286
26/10/2015 15:30:00,106.99,107.68,106.07,106.7,1065369
27/10/2015 15:30:00,106.92,108.26,106.13,107.83,2938919
28/10/2015 15:30:00,107.79,108.98,106.83,108.38,1405681
29/10/2015 15:30:00,108.57,108.73,107.06,107.74,1528155
30/10/2015 15:30:00,107.34,108.57,106.72,107.41,1134312
02/11/2015 15:30:00,107.53,108.25,106.59,107.84,1817822
03/11/2015 15:30:00,107.84,108.68,107.13,107.67,1056986
04/11/2015 15:30:00,108.21,108.55,107.15,107.45,815785
05/11/2015 15:30:00,107.48,107.79,106.75,107.03,614621
06/11/2015 15:30:00,106.55,107.37,106.26,106.87,686204
09/11/2015 15:30:00,105.66,106.31,104.29,105.05,1327976
10/11/2015 15:30:00,105.18,105.34,103.4,104.26,1430715
13/11/2015 15:30:00,103.88,104.11,103.2,103.41,623741
16/11/2015 15:30:00,103.11,104.62,101.67,103.78,1110826
17/11/2015 15:30:00,104.44,104.44,103.31,104.22,1465537
18/11/2015 15:30:00,103.78,104.41,103.34,103.94,1230338
19/11/2015 15:30:00,104.15,105.38,103.62,104.39,1006337
20/11/2015 15:30:00,105.32,107.81,104.63,106.82,1853958
23/11/2015 15:30:00,107.62,108.03,106.42,106.89,1111794
24/11/2015 15:30:00,107.48,108.26,105.47,105.72,1020358
26/11/2015 15:30:00,104.81,107.43,104.81,106.78,1926209
27/11/2015 15:30:00,106.78,106.95,105.92,106.87,1338360
30/11/2015 15:30:00,106.69,107.95,106.35,106.87,4168988
01/12/2015 15:30:00,108.6,110.15,108.6,109.12,1725073
02/12/2015 15:30:00,109.65,109.76,108.01,108.33,710176
03/12/2015 15:30:00,109.69,109.69,106.74,107.35,1307704
04/12/2015 15:30:00,107.32,107.32,105.41,106.74,1033750
07/12/2015 15:30:00,107.22,108.26,106.48,108.01,1165015
08/12/2015 15:30:00,107.66,108.54,105.82,106.26,700651
09/12/2015 15:30:00,105.75,107.6,105.48,105.99,791915
10/12/2015 15:30:00,106.32,106.88,104.93,105.96,1127698
11/12/2015 15:30:00,106.31,106.45,105.11,106.11,692121
14/12/2015 15:30:00,105.6,106.88,105.0,106.32,744942
15/12/2015 15:30:00,106.58,106.88,104.33,104.79,1198868
16/12/2015 15:30:00,103.55,104.78,103.55,104.05,2056888
17/12/2015 15:30:00,104.53,104.7,103.71,104.27,1905689
18/12/2015 15:30:00,103.88,104.5,103.21,103.91,2805312
21/12/2015 15:30:00,103.84,104.86,102.84,104.22,1163941
22/12/2015 15:30:00,104.03,104.53,103.69,104.15,1247602
23/12/2015 15:30:00,105.0,105.0,103.88,104.31,791612
24/12/2015 15:30:00,104.34,104.96,103.97,104.48,404033
28/12/2015 15:30:00,104.17,105.75,104.17,105.27,978882
29/12/2015 15:30:00,105.36,106.54,104.8,105.76,800357
30/12/2015 15:30:00,106.11,106.5,104.25,104.64,502172
31/12/2015 15:30:00,104.63,105.64,104.44,104.98,1322771
01/01/2016 15:30:00,104.96,104.96,103.89,104.33,593536
04/01/2016 15:30:00,104.44,105.0,104.25,104.57,643432
05/01/2016 15:30:00,105.38,105.94,103.92,104.42,878912
06/01/2016 15:30:00,104.44,104.96,103.69,104.08,1148164
07/01/2016 15:30:00,103.69,104.52,102.58,103.1,2094055
08/01/2016 15:30:00,103.52,104.6,103.04,104.21,871557
11/01/2016 15:30:00,103.5,103.87,100.2,100.77,1866410
12/01/2016 15:30:00,100.59,103.31,99.6,102.65,1309157
13/01/2016 15:30:00,102.56,103.48,101.33,102.47,672669
14/01/2016 15:30:00,102.19,103.11,100.5,102.23,1094750
15/01/2016 15:30:00,102.49,102.91,100.69,101.83,625158
18/01/2016 15:30:00,100.69,103.28,99.52,102.59,1693486
19/01/2016 15:30:00,102.75,103.5,100.88,101.63,957428
20/01/2016 15:30:00,101.07,103.48,99.98,101.73,1169646
21/01/2016 15:30:00,101.54,104.06,101.54,103.28,1743800
22/01/2016 15:30:00,104.19,104.19,102.58,103.14,833487
25/01/2016 15:30:00,102.73,103.09,101.96,102.57,795530
27/01/2016 15:30:00,103.13,104.05,101.92,103.6,2092598
28/01/2016 15:30:00,103.73,103.82,102.08,102.61,1211162
29/01/2016 15:30:00,102.86,106.07,102.86,105.53,1450233
01/02/2016 15:30:00,106.05,107.61,104.49,106.53,1506973
02/02/2016 15:30:00,106.89,107.17,105.79,106.36,1285343
03/02/2016 15:30:00,106.22,106.22,103.88,104.59,602527
04/02/2016 15:30:00,105.06,105.31,103.82,104.99,1051872
05/02/2016 15:30:00,105.0,106.09,104.14,104.61,1076643
08/02/2016 15:30:00,104.63,105.04,101.87,102.0,822141
09/02/2016 15:30:00,101.23,101.23,100.13,100.55,800236
10/02/2016 15:30:00,100.55,100.62,99.0,99.6,967008
11/02/2016 15:30:00,99.6,99.81,96.21,96.98,988027
12/02/2016 15:30:00,98.4,99.27,95.3,97.5,1799742
15/02/2016 15:30:00,98.04,98.93,97.15,98.58,977686
16/02/2016 15:30:00,98.81,99.47,97.72,98.74,691104
17/02/2016 15:30:00,98.06,99.37,96.98,98.8,1080696
18/02/2016 15:30:00,99.02,101.96,99.02,101.49,888820
19/02/2016 15:30:00,101.51,103.03,100.9,102.63,1081601
22/02/2016 15:30:00,102.6,102.77,100.59,101.77,847687
