Stock,Sector,MSE_day1,RMSE_day1,R2_day1,MSE_all,RMSE_all,R2_all,Next_7_Days,Model_File,Plot_File,Train_Epochs
Adani Ent,Unknown,13943.074823071236,118.08079785922534,0.8961618043304292,24826.17711140254,157.56324797173528,0.813383763107141,"[2565.5265012919904, 2605.8483525276188, 2597.8182010501623, 2571.0822783589365, 2559.9406175822023, 2590.198527947068, 2560.9145552396776]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Adani Ent_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Adani Ent_day1_plot.png,22
Adani Ports,Unknown,20577.63597099186,143.44907100079757,0.29208185854068136,24119.98165788686,155.30609021505518,0.12690253965799447,"[1270.1374249339106, 1262.5672024369242, 1242.987612116337, 1301.0625406026843, 1274.6117452025417, 1264.8032633543016, 1216.1448190450672]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Adani Ports_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Adani Ports_day1_plot.png,11
Airtel,Unknown,10519.326221162304,102.5637666096673,0.8868197886944905,14219.003019835201,119.24346111982494,0.845104265115114,"[1807.1180451619625, 1805.717704524994, 1778.1729303979873, 1798.5466941356658, 1808.7180677640438, 1771.4007491719724, 1800.593781876564]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Airtel_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Airtel_day1_plot.png,22
Apollo Hosp,Unknown,194106.9309280783,440.57568127176324,0.5461661227242682,320160.84383036173,565.8275742930541,0.23159052010456316,"[7129.14929587841, 7039.663308781384, 7007.737961930035, 6897.577356696128, 6951.00459356904, 6998.809422135352, 6927.506524783372]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Apollo Hosp_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Apollo Hosp_day1_plot.png,21
Asian paints,Unknown,3725.9799190914264,61.04080536077016,0.9716031224003844,8350.964156138623,91.38360988787116,0.936443527737502,"[2485.6013388216493, 2465.5608561515805, 2501.385440188646, 2476.7300273060796, 2488.2829203188417, 2529.2023767113683, 2513.148659813404]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Asian paints_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Asian paints_day1_plot.png,25
Axis bank,Unknown,1632.0528038483842,40.3986732931712,0.7132837550153874,1943.3044344265618,44.082926790613186,0.6529042833358271,"[1160.56781629622, 1185.9106010198593, 1198.5033202439547, 1184.8756094992161, 1176.7150622338058, 1177.5624834537507, 1175.3450676172972]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Axis bank_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Axis bank_day1_plot.png,11
Bajaj auto,Unknown,161952.74997526905,402.4335348542279,0.9083251603780905,264137.7110832218,513.9432955912761,0.844385510995759,"[9100.413102933764, 9107.053518405557, 9203.342101180553, 9199.50061251521, 9121.744686096907, 9246.402464386822, 9305.769006752967]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Bajaj auto_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Bajaj auto_day1_plot.png,30
Bajaj finance,Unknown,142768.48928059966,377.84717715049777,-0.03542837849130209,138827.88479140608,372.5961416754152,-0.003863531835680556,"[984.2629608746618, 1010.4466433229297, 999.1258366511762, 973.817536212653, 979.3814479993283, 1026.757686637342, 970.8829476547241]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Bajaj finance_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Bajaj finance_day1_plot.png,13
bajaj FinServ,Unknown,3523.640229964193,59.36025800115927,0.8859353918305751,5633.571495615449,75.05712155162526,0.8196028280188297,"[2145.0224133324623, 2138.264939110279, 2152.991966264248, 2156.8211183238027, 2155.25674929142, 2130.583510079384, 2126.296234767437]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\bajaj FinServ_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\bajaj FinServ_day1_plot.png,18
Bharat electronics,Unknown,960.069437340501,30.984987289661763,0.8312067573945703,1423.789119659888,37.733130265853745,0.7473935257900965,"[351.62207610070703, 347.67858276724814, 343.6203163957596, 329.4937113535404, 348.84523286163807, 344.37816288888456, 347.51411165058613]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Bharat electronics_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Bharat electronics_day1_plot.png,17
